official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149764083,55285111580000,1,1,0,0,0,1,1,600000.0,2023-07-26,2023-07-26,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149760665,55252741530000,1,1,0,0,0,1,1,600000.0,2023-05-10,2023-05-10,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149785339,56019937710000,1,1,0,0,0,1,1,600000.0,2023-03-07,2023-03-07,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149829441,56816152160000,1,1,0,0,0,1,1,599100.0,2025-10-08,2025-10-08,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149825004,56529655720000,1,1,0,0,0,1,1,594500.0,2024-05-15,2024-05-15,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149760417,55261078150000,1,1,0,0,0,1,1,590000.0,2025-12-09,2025-12-09,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149773180,55433130980000,1,1,0,0,0,1,1,588000.0,2024-12-23,2024-12-23,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149763306,55282734700000,1,1,0,0,0,1,1,585000.0,2023-12-22,2023-12-22,1,residential_growth,major_growth,100.0,100.0,recently_issued
CFS-PARCEL-0149768545,55196554880000,1,1,0,0,0,1,1,580900.0,2025-12-11,2025-12-11,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149742787,46948218850000,1,1,0,0,0,1,1,580000.0,2024-04-11,2024-04-11,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149735426,46804113890000,1,1,0,0,0,1,1,579231.0,2022-03-10,2022-03-10,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149781214,55795677910000,1,1,0,0,0,1,1,578570.0,2020-06-19,2020-06-19,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149767780,55358486370000,1,1,0,0,0,1,1,572000.0,2024-10-30,2024-10-30,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149743235,46940155310000,1,1,0,0,0,1,1,570550.0,2022-05-04,2022-05-04,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149762855,55284079220000,1,1,0,0,0,1,1,566000.0,2025-09-04,2025-09-04,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149828495,56733342170000,1,1,0,0,0,1,1,560000.0,2022-10-04,2022-10-04,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149766944,55299077890000,1,1,0,0,0,1,1,550000.0,2025-08-12,2025-08-12,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149829521,56933103640000,1,1,0,0,0,1,1,550000.0,2024-08-09,2024-08-09,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149742169,46928746760000,1,1,0,0,0,1,1,545903.0,2024-07-08,2024-07-08,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149825617,56521396710000,1,1,0,0,0,1,1,544000.0,2024-09-03,2024-09-03,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149777602,55592571290000,1,1,0,0,0,1,1,540000.0,2025-03-05,2025-03-05,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149824157,56521865310000,1,1,0,0,0,1,1,533000.0,2023-04-20,2023-04-20,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149735256,46733736770000,1,1,0,0,0,1,1,525000.0,2025-05-22,2025-05-22,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149794781,56125991310000,1,1,0,0,0,1,1,515000.0,2025-07-15,2025-07-15,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149772920,55429747160000,1,1,0,0,0,1,1,513500.0,2025-09-16,2025-09-16,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149779200,55676937460000,1,1,0,0,0,1,1,509000.0,2024-01-04,2024-01-04,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149777261,55346225570000,1,1,0,0,0,1,1,508521.0,2020-09-11,2020-09-11,1,residential_growth,major_growth,100.0,100.0,no_recent_activity
CFS-PARCEL-0149743097,46938056770000,1,1,0,0,0,1,1,504362.0,2025-09-18,2025-09-18,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149740119,46833763320000,1,1,0,0,0,1,1,500000.0,2025-10-31,2025-10-31,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149768627,55380083340000,1,1,0,0,0,1,1,500000.0,2024-11-05,2024-11-05,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149752195,55096134720000,1,1,0,0,0,1,1,500000.0,2024-08-29,2024-08-29,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149774281,55454113970000,1,1,0,0,0,1,1,500000.0,2024-01-04,2024-01-04,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149778313,55596748460000,1,1,0,0,0,1,1,500000.0,2023-04-27,2023-04-27,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149749974,46849192990000,1,1,0,0,0,1,1,500000.0,2023-02-23,2023-02-23,1,residential_growth,major_growth,100.0,100.0,recently_issued
