source_permit_id,permit_type_class,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_confidence,match_warning
BU2026-00646,residential_new_construction,2026-03-04,"257 COLTON PL NE CONCORD, NC 28025",56311551210000,56311551210000,ambiguous,ambiguous pin14 matched multiple parcels
BU2026-00637,residential_new_construction,2026-03-03,"591 CENTRAL DR NW, AC# CONCORD, NC 28027",56210076780000,56210076780000,unmatched,no matching parcels_enriched.pin14
BU2026-00601,residential_new_construction,2026-03-02,"355 CAMDEN CT NW CONCORD, NC 28027",56119179290000,56119179290000,unmatched,no matching parcels_enriched.pin14
BU2026-00495,residential_new_construction,2026-02-23,"53 YOUNG AVE SW, LT# CONCORD, NC 28025",56209634150000,56209634150000,ambiguous,ambiguous pin14 matched multiple parcels
BU2026-00451,residential_new_construction,2026-02-19,"1221 WHITE BIRCH AVE NW, AC# HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00420,residential_new_construction,2026-02-17,"10215 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00428,residential_new_construction,2026-02-17,"1215 WHITE BIRCH AVE NW HUNTERSVILLE, NC 28078",46717301970000,46717301970000,unmatched,no matching parcels_enriched.pin14
BU2026-00410,residential_new_construction,2026-02-16,"10223 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00411,residential_new_construction,2026-02-16,"10221 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00412,residential_new_construction,2026-02-16,"10219 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
BU2026-00395,residential_new_construction,2026-02-13,"10225 RAINIER TRAIL DR NW, AC# HUNTERSVILLE, NC 28078",46718083630000,46718083630000,unmatched,no matching parcels_enriched.pin14
