official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149726858,45899395810000,4,1,3,0,0,2,2,3852022.0,2012-02-08,2025-10-01,3,commercial_activity,major_growth,100.0,84.0,completed_historical
CFS-PARCEL-0149824887,56606595780000,4,1,3,0,0,3,3,3287198.0,2004-06-01,2025-05-16,3,commercial_activity,major_growth,100.0,91.0,active_construction
CFS-PARCEL-0149824888,56606595780000,4,1,3,0,0,3,3,3287198.0,2004-06-01,2025-05-16,3,commercial_activity,major_growth,100.0,91.0,active_construction
CFS-PARCEL-0149741921,46927427550000,4,4,0,0,0,3,1,3090000.0,2023-08-04,2024-12-20,2,residential_growth,major_growth,100.0,85.5,completed_historical
CFS-PARCEL-0149755529,55070379700000,4,3,1,0,0,4,1,2303441.0,2023-03-17,2025-06-06,2,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149808012,56214522960000,4,2,1,0,0,2,1,2123998.0,2009-11-01,2025-12-15,3,residential_growth,major_growth,100.0,69.0,completed_historical
CFS-PARCEL-0149751411,55092178890000,4,2,1,1,0,3,1,2099347.0,2025-11-07,2025-12-10,1,residential_growth,major_growth,100.0,92.25,active_construction
CFS-PARCEL-0149792305,56010198200000,4,1,3,0,0,2,1,2079420.0,2007-12-01,2024-05-23,3,commercial_activity,major_growth,100.0,85.0,active_construction
CFS-PARCEL-0149796186,56128249940000,4,2,2,0,0,3,1,2054710.0,2008-11-01,2025-05-21,3,commercial_activity,major_growth,100.0,86.5,completed_historical
CFS-PARCEL-0149733163,46724305650000,4,4,0,0,0,2,2,1900000.0,2025-08-12,2025-09-11,1,residential_growth,major_growth,100.0,90.0,active_construction
CFS-PARCEL-0149727430,45983967290000,4,4,0,0,0,4,1,1842219.48,2024-05-07,2025-12-02,2,residential_growth,major_growth,100.0,97.0,recently_issued
CFS-PARCEL-0149789019,56102354440000,4,3,0,0,1,2,1,1655000.0,2023-09-28,2025-02-12,3,residential_growth,major_growth,100.0,79.5,completed_historical
CFS-PARCEL-0149738941,46813542980000,4,2,0,0,2,2,1,1654274.0,2023-03-20,2023-10-30,1,demolition,redevelopment_signal,100.0,83.5,active_construction
CFS-PARCEL-0149749476,55079631960000,4,1,3,0,0,2,1,1624592.0,2018-08-27,2024-02-26,3,commercial_activity,major_growth,100.0,80.0,active_construction
CFS-PARCEL-0149727531,45979346770000,4,2,1,0,0,2,1,1566000.0,2007-02-01,2025-10-22,3,residential_growth,major_growth,100.0,68.0,active_construction
CFS-PARCEL-0149759628,55248825600000,4,2,0,2,0,2,2,1482470.0,2022-01-12,2024-06-20,3,residential_growth,major_growth,100.0,86.5,active_construction
CFS-PARCEL-0149773281,55435434920000,4,4,0,0,0,1,1,1473000.0,2025-04-17,2025-08-18,1,residential_growth,major_growth,100.0,86.5,active_construction
CFS-PARCEL-0149740909,46909082160000,4,4,0,0,0,3,2,1383000.0,2022-04-06,2023-12-29,2,residential_growth,major_growth,100.0,88.0,active_construction
CFS-PARCEL-0149811754,56225213390000,4,2,2,0,0,2,1,1357500.0,2009-09-01,2025-11-21,3,commercial_activity,major_growth,100.0,80.5,active_construction
CFS-PARCEL-0149767659,55343318310000,4,3,0,1,0,3,1,1132890.58,2022-03-02,2025-01-08,2,residential_growth,major_growth,100.0,82.25,completed_historical
CFS-PARCEL-0149770666,55391235620000,4,3,1,0,0,2,1,957321.0,2023-11-08,2025-08-12,2,residential_growth,major_growth,100.0,88.5,active_construction
CFS-PARCEL-0149808025,56211940950000,4,1,2,0,1,1,1,669595.0,2016-02-05,2024-09-12,2,commercial_activity,moderate_activity,100.0,78.5,active_construction
CFS-PARCEL-0149802396,56201325610000,4,1,1,2,0,2,1,655529.0,2013-10-25,2025-09-22,3,redevelopment_signal,major_growth,100.0,81.5,completed_historical
CFS-PARCEL-0149802397,56201333330000,4,1,2,0,0,1,1,642023.0,2012-09-24,2025-02-04,4,commercial_activity,major_growth,100.0,61.0,completed_historical
CFS-PARCEL-0149790029,56105928110000,4,2,1,0,0,1,1,641744.0,2021-07-08,2024-06-24,3,residential_growth,moderate_activity,100.0,68.5,active_construction
CFS-PARCEL-0149802108,56144203120000,4,4,0,0,0,1,1,641642.0,2007-03-01,2024-02-06,4,residential_growth,major_growth,100.0,78.5,active_construction
CFS-PARCEL-0149759993,55252159210000,4,2,0,0,1,1,1,566500.0,2015-07-08,2018-03-28,3,residential_growth,major_growth,100.0,69.0,no_recent_activity
CFS-PARCEL-0149823742,56427345710000,4,4,0,0,0,2,0,554000.0,2022-03-07,2022-03-09,1,residential_growth,major_growth,100.0,89.0,active_construction
CFS-PARCEL-0149726811,45898410220000,4,1,2,0,0,1,1,530678.0,2007-01-01,2022-08-08,2,commercial_activity,major_growth,100.0,63.0,active_construction
CFS-PARCEL-0149761823,55271205960000,4,3,0,0,1,1,0,500000.0,2022-02-03,2023-05-25,2,residential_growth,moderate_activity,100.0,78.5,active_construction
CFS-PARCEL-0149811461,56222944280000,4,4,0,0,0,4,0,469972.0,2024-05-17,2024-05-17,1,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149808245,56214155530000,4,1,2,0,0,1,0,452000.0,2013-05-21,2022-03-07,4,commercial_activity,major_growth,100.0,59.5,active_construction
CFS-PARCEL-0149754734,55170318120000,4,3,1,0,0,2,0,446245.0,2023-07-03,2024-06-10,2,residential_growth,major_growth,100.0,90.5,active_construction
CFS-PARCEL-0149772189,55397351590000,4,2,2,0,0,1,0,430308.0,2010-10-06,2025-09-11,4,commercial_activity,major_growth,100.0,76.0,active_construction
CFS-PARCEL-0149797898,56131755970000,4,4,0,0,0,2,0,405600.0,2025-07-28,2025-09-05,1,residential_growth,major_growth,100.0,93.0,active_construction
CFS-PARCEL-0149797899,56131755970000,4,4,0,0,0,2,0,405600.0,2025-07-28,2025-09-05,1,residential_growth,major_growth,100.0,93.0,active_construction
CFS-PARCEL-0149796890,56100988580000,4,3,0,0,0,2,0,402084.0,2022-06-10,2024-12-23,3,residential_growth,major_growth,100.0,72.0,active_construction
CFS-PARCEL-0149780048,55784620580000,4,4,0,0,0,1,0,391300.0,2023-10-10,2025-09-12,3,residential_growth,moderate_activity,100.0,78.5,active_construction
CFS-PARCEL-0149747061,55072249870000,4,2,1,1,0,1,0,373300.0,2014-06-19,2024-09-06,3,residential_growth,major_growth,100.0,81.25,active_construction
CFS-PARCEL-0149810546,56220382740000,4,2,2,0,0,1,0,362800.0,2009-03-01,2022-05-05,3,commercial_activity,major_growth,100.0,74.5,active_construction
CFS-PARCEL-0149823638,56431940020000,4,4,0,0,0,1,0,336500.0,2018-10-11,2022-11-03,2,residential_growth,major_growth,100.0,83.0,active_construction
CFS-PARCEL-0149802334,56200361840000,4,1,3,0,0,1,0,247025.0,2006-11-01,2023-06-02,3,commercial_activity,major_growth,100.0,78.0,active_construction
CFS-PARCEL-0149805232,56207613370000,4,2,0,0,2,2,0,244000.0,2022-07-27,2023-05-17,2,residential_growth,major_growth,100.0,78.5,active_construction
CFS-PARCEL-0149824438,56518863380000,4,4,0,0,0,2,0,236000.0,2024-04-02,2024-09-05,1,residential_growth,major_growth,100.0,85.0,active_construction
CFS-PARCEL-0149811469,56222958750000,4,2,1,0,0,1,0,158093.0,2022-08-02,2024-03-27,3,residential_growth,major_growth,100.0,66.5,active_construction
CFS-PARCEL-0149747847,55074690990000,4,2,1,1,0,1,0,151395.0,2008-03-01,2022-05-05,4,residential_growth,major_growth,100.0,74.25,active_construction
CFS-PARCEL-0149802161,56146012190000,3,3,0,0,0,3,3,69000000.0,2023-03-08,2023-03-08,1,residential_growth,major_growth,100.0,100.0,completed_historical
CFS-PARCEL-0149727768,45993862310000,3,1,1,0,0,1,1,16229175.0,2023-01-18,2023-12-21,1,residential_growth,major_growth,100.0,58.67,completed_historical
CFS-PARCEL-0149806113,56206805220000,3,1,1,0,0,3,1,4341130.0,2018-08-07,2025-09-17,2,commercial_activity,major_growth,100.0,75.33,active_construction
CFS-PARCEL-0149784414,56017445130000,3,1,2,0,0,2,1,4119451.0,2024-10-03,2025-07-17,2,commercial_activity,major_growth,100.0,94.67,active_construction
CFS-PARCEL-0149784454,56017445130000,3,1,2,0,0,2,1,4119451.0,2024-10-03,2025-07-17,2,commercial_activity,major_growth,100.0,94.67,active_construction
CFS-PARCEL-0149784455,56017445130000,3,1,2,0,0,2,1,4119451.0,2024-10-03,2025-07-17,2,commercial_activity,major_growth,100.0,94.67,active_construction
CFS-PARCEL-0149807852,56210881430000,3,1,2,0,0,1,1,3285500.0,2023-02-16,2025-06-05,2,commercial_activity,moderate_activity,100.0,78.67,completed_historical
CFS-PARCEL-0149803475,56200325970000,3,2,0,0,1,1,1,3205580.0,2024-07-08,2024-09-23,1,residential_growth,major_growth,100.0,80.67,completed_historical
CFS-PARCEL-0149755115,55171788120000,3,2,1,0,0,3,3,2878376.14,2023-08-07,2024-09-23,2,residential_growth,major_growth,100.0,100.0,active_construction
CFS-PARCEL-0149790987,56106124810000,3,1,2,0,0,2,2,2862002.0,2017-07-14,2024-09-05,2,commercial_activity,major_growth,100.0,90.67,active_construction
CFS-PARCEL-0149749166,55079548210000,3,2,1,0,0,1,1,2843900.0,2022-07-14,2023-11-17,2,residential_growth,major_growth,100.0,84.67,active_construction
CFS-PARCEL-0149752006,55094332610000,3,1,1,0,0,3,1,2645000.0,2021-06-18,2024-08-05,2,commercial_activity,major_growth,100.0,70.67,active_construction
CFS-PARCEL-0149744531,55061229820000,3,1,2,0,0,1,1,1381525.0,2022-12-15,2024-07-09,3,commercial_activity,moderate_activity,100.0,86.67,active_construction
CFS-PARCEL-0149740626,46832802240000,3,3,0,0,0,3,1,1324000.0,2022-12-06,2025-03-21,2,residential_growth,major_growth,100.0,89.33,completed_historical
CFS-PARCEL-0149780258,55772006200000,3,3,0,0,0,2,2,1268812.0,2022-07-28,2022-08-18,1,residential_growth,major_growth,100.0,90.0,active_construction
CFS-PARCEL-0149811795,56227661930000,3,1,2,0,0,1,1,1139456.0,2025-10-27,2025-12-19,1,commercial_activity,moderate_activity,100.0,86.67,active_construction
CFS-PARCEL-0149777214,55499019460000,3,3,0,0,0,2,2,1111500.0,2022-08-02,2023-10-06,2,residential_growth,major_growth,100.0,91.33,active_construction
CFS-PARCEL-0149776934,55338686360000,3,3,0,0,0,3,1,1108000.0,2017-04-13,2017-10-13,1,residential_growth,major_growth,100.0,90.0,no_recent_activity
CFS-PARCEL-0149776951,55338686360000,3,3,0,0,0,3,1,1108000.0,2017-04-13,2017-10-13,1,residential_growth,major_growth,100.0,90.0,no_recent_activity
CFS-PARCEL-0149779115,55676975740000,3,3,0,0,0,2,1,1042258.0,2023-03-20,2023-08-09,1,residential_growth,major_growth,100.0,90.0,active_construction
CFS-PARCEL-0149788087,55689059990000,3,3,0,0,0,2,0,1012000.0,2022-07-05,2023-08-10,2,residential_growth,major_growth,100.0,92.67,active_construction
CFS-PARCEL-0149752667,55097043030000,3,3,0,0,0,2,1,1003000.0,2024-03-04,2024-09-04,1,residential_growth,major_growth,100.0,86.0,completed_historical
CFS-PARCEL-0149743496,46940054300000,3,3,0,0,0,1,1,971000.0,2022-04-11,2023-01-03,2,residential_growth,moderate_activity,100.0,85.33,active_construction
CFS-PARCEL-0149757689,55181766900000,3,3,0,0,0,2,1,964000.0,2021-06-04,2025-06-24,2,residential_growth,major_growth,100.0,86.67,completed_historical
CFS-PARCEL-0149750667,46910305290000,3,2,0,1,0,2,1,952000.0,2024-03-04,2024-10-14,1,residential_growth,major_growth,100.0,86.33,completed_historical
CFS-PARCEL-0149829168,56833684880000,3,2,0,0,0,2,1,950000.0,2022-11-14,2023-09-15,2,residential_growth,major_growth,100.0,66.0,completed_historical
