source_permit_id,permit_file_date,address_raw,parcel_num_raw,parcel_num_normalized,match_warning
BU2025-02088,2025-07-16,"1315 WINGED WAY KANNAPOLIS, NC 28083",158B002,158002,invalid or placeholder parcel number
BU2025-02097,2025-07-16,"1300 GLENN AVE KANNAPOLIS, NC 28081",142 013,142013,invalid or placeholder parcel number
BU2025-02034,2025-07-10,"1600 SOLITUDE CT KANNAPOLIS, NC 28081",152A008,152008,invalid or placeholder parcel number
BU2025-02035,2025-07-10,"706 LEAZER ST KANNAPOLIS, NC 28081",154 111,154111,invalid or placeholder parcel number
BU2025-02036,2025-07-10,"3165 LAVENDER LN KANNAPOLIS, NC 28083",158B025,158025,invalid or placeholder parcel number
BU2025-02037,2025-07-10,"1575 SOLITUDE CT KANNAPOLIS, NC 28081",152A005,152005,invalid or placeholder parcel number
BU2025-01957,2025-07-02,"2209 HARKEY AVE KANNAPOLIS, NC 28081",155 199,155199,invalid or placeholder parcel number
BU2025-01958,2025-07-02,"2201 HARKEY AVE KANNAPOLIS, NC 28081",155 201,155201,invalid or placeholder parcel number
BU2025-01865,2025-06-23,"2105 FOWLER ST KANNAPOLIS, NC 28083",144A02204,14402204,invalid or placeholder parcel number
BU2025-01846,2025-06-20,"409 OAK CIR KANNAPOLIS, NC 28081",148 166,148166,invalid or placeholder parcel number
BU2025-01748,2025-06-12,"2673 BRADY AVE KANNAPOLIS, NC 28083",162 152,162152,invalid or placeholder parcel number
BU2025-01749,2025-06-12,"2653 BRADY AVE KANNAPOLIS, NC 28083",162 151,162151,invalid or placeholder parcel number
BU2025-01724,2025-06-10,"1002 FAIRWAY DR KANNAPOLIS, NC 28081",141 060,141060,invalid or placeholder parcel number
BU2025-01711,2025-06-09,"1570 SOLITUDE CT KANNAPOLIS, NC 28081",152A010,152010,invalid or placeholder parcel number
BU2025-01630,2025-06-04,"2417 SUMMIT AVE KANNAPOLIS, NC 28081",160 058,160058,invalid or placeholder parcel number
BU2025-01566,2025-05-30,"2406 BROOKSIDE AVE KANNAPOLIS, NC 28081",160 292,160292,invalid or placeholder parcel number
BU2025-01513,2025-05-27,"2521 ECHERD ST KANNAPOLIS, NC 28083",145A206,145206,invalid or placeholder parcel number
BU2025-01429,2025-05-15,"1305 WINGED WAY KANNAPOLIS, NC 28083",158B001,158001,invalid or placeholder parcel number
BU2025-01408,2025-05-13,"2401 BROOKVIEW AVE KANNAPOLIS, NC 28081",160 062,160062,invalid or placeholder parcel number
BU2025-01401,2025-05-12,"2675 TRAWLER WAY KANNAPOLIS, NC 28083",145 244,145244,invalid or placeholder parcel number
BU2025-01369,2025-05-08,"1302 PUMP STATION RD KANNAPOLIS, NC 28081",142 050,142050,invalid or placeholder parcel number
BU2025-01372,2025-05-08,"335 ROSEMONT AVE KANNAPOLIS, NC 28081",156 137,156137,invalid or placeholder parcel number
BU2025-01363,2025-05-07,"509 W 9TH ST KANNAPOLIS, NC 28081",149 072,149072,invalid or placeholder parcel number
BU2025-01307,2025-05-02,"2660 TRAWLER WAY KANNAPOLIS, NC 28083",145 256,145256,invalid or placeholder parcel number
BU2025-01311,2025-05-02,"2670 TRAWLER WAY KANNAPOLIS, NC 28083",145 254,145254,invalid or placeholder parcel number
BU2025-01316,2025-05-02,"2690 TRAWLER WAY KANNAPOLIS, NC 28083",145 252,145252,invalid or placeholder parcel number
