official_parcel_id,pin14,total_permits,residential_growth_permits,commercial_activity_permits,redevelopment_signal_permits,demolition_permits,high_value_permits,major_value_permits,total_permit_amount,first_permit_date,latest_permit_date,active_year_count,dominant_permit_segment,dominant_growth_signal,permit_signal_score_max,permit_signal_score_avg,current_activity_status
CFS-PARCEL-0149784340,56016049540000,4,2,0,0,1,3,2,1900000.0,2015-09-15,2019-01-30,3,residential_growth,major_growth,96.0,82.5,no_recent_activity
CFS-PARCEL-0149820896,56333925670000,4,1,1,0,1,1,1,1398398.0,2016-07-11,2016-09-21,1,residential_growth,major_growth,96.0,55.0,no_recent_activity
CFS-PARCEL-0149748585,55076643400000,4,2,0,1,0,2,1,1213468.0,2021-03-11,2025-06-06,2,residential_growth,major_growth,96.0,71.75,completed_historical
CFS-PARCEL-0149782087,56003985140000,4,1,1,0,1,1,1,1073800.0,2016-09-12,2017-03-15,2,residential_growth,major_growth,96.0,55.0,no_recent_activity
CFS-PARCEL-0149734206,46728822160000,4,2,0,2,0,2,1,1047625.0,2018-05-17,2024-11-27,3,residential_growth,major_growth,96.0,81.5,active_construction
CFS-PARCEL-0149732530,46724053120000,4,1,2,0,1,1,1,992144.0,2021-09-01,2021-10-29,1,commercial_activity,moderate_activity,96.0,70.5,no_recent_activity
CFS-PARCEL-0149740568,46845146950000,4,2,0,2,0,1,1,705000.0,2017-09-29,2024-02-15,2,residential_growth,major_growth,96.0,74.0,recently_issued
CFS-PARCEL-0149761105,55164589710000,4,2,0,2,0,2,0,573000.0,2019-10-08,2024-08-13,2,residential_growth,major_growth,96.0,83.5,active_construction
CFS-PARCEL-0149808372,56211878550000,4,0,2,1,0,2,0,439239.0,2016-01-04,2022-07-07,3,commercial_activity,major_growth,96.0,62.75,no_recent_activity
CFS-PARCEL-0149726851,45895534670000,4,1,1,2,0,1,0,285500.0,2007-09-01,2023-03-01,4,redevelopment_signal,major_growth,96.0,71.5,recently_issued
CFS-PARCEL-0149772837,55397586790000,3,1,0,0,1,1,1,3301259.0,2020-05-21,2021-03-23,2,residential_growth,major_growth,96.0,52.67,no_recent_activity
CFS-PARCEL-0149807600,56209804620000,3,0,1,0,1,1,1,2015107.0,2014-08-06,2018-04-25,2,commercial_activity,major_growth,96.0,52.67,no_recent_activity
CFS-PARCEL-0149806799,56211778160000,3,2,0,0,1,1,1,1739800.0,2010-09-08,2023-09-19,3,residential_growth,major_growth,96.0,79.33,active_construction
