permit_id,permit_number,parcel_number,permit_date,activity_year,permit_type,work_type,permit_status,permit_amount,permit_segment,permit_growth_signal,development_domain,permit_value_class,permit_status_stage,permit_signal_score,is_map_relevant,is_future_prediction_relevant,classification_reason
5317057,BU2025-02535,56118125000000,2025-09-02,2025,new_construction,residential_new,inspections,159000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5323678,BU2025-02262,46820334060000,2025-09-02,2025,new_construction,residential_new,inspections,204000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5467473,BU2025-02604,56118124820000,2025-09-02,2025,new_construction,residential_new,inspections,159000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5449484,BU2025-02601,46816254420000,2025-08-30,2025,new_construction,residential_new,inspections,275000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497215,BU2025-02600,46817225120000,2025-08-30,2025,new_construction,residential_new,inspections,317600.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5294868,BU2025-02584,56210067160000,2025-08-28,2025,new_construction,residential_new,inspections,180000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5481446,BU2025-02576,55079838420000,2025-08-28,2025,new_construction,residential_new,inspections,111400.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5505899,BU2025-01993,55060459120000,2025-08-28,2025,commercial_new_construction,commercial_new,inspections,4375822.0,residential_growth,major_growth,residential,major_value,active_construction,100.0,True,True,major_new_growth
5452618,BU2025-02559,56715476220000,2025-08-26,2025,new_construction,residential_new,inspections,165000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5497529,BU2025-02552,55079847580000,2025-08-26,2025,new_construction,residential_new,inspections,111400.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5498161,BU2025-02548,55173530820000,2025-08-26,2025,new_construction,residential_new,inspections,165900.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5476330,BU2025-02542,56718742700000,2025-08-25,2025,new_construction,residential_new,inspections,450000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
5494256,BU2025-02501,56119949360000,2025-08-25,2025,new_construction,residential_new,inspections,100000.0,residential_growth,major_growth,residential,high_value,active_construction,100.0,True,True,major_new_growth
