activity_year,permit_segment,permit_growth_signal,permit_count,map_relevant_count,future_prediction_relevant_count,total_permit_amount,avg_permit_signal_score
2016,residential_growth,major_growth,1574,1574,1574,442029767.46,83.95
2016,residential_growth,moderate_activity,548,548,548,10305977.59,62.92
2017,accessory_or_misc,minor_activity,189,1,0,2830897.98,31.12
2017,administrative_or_unknown,unknown,213,0,0,41792745.62,12.13
2017,commercial_activity,major_growth,68,68,68,32630428.0,87.24
2017,commercial_activity,moderate_activity,122,122,122,1348205.36,63.51
2017,demolition,redevelopment_signal,82,82,82,1315815.0,56.37
2017,industrial_activity,moderate_activity,1,1,1,12000.0,66.0
2017,institutional_activity,moderate_activity,2,2,2,15000.0,64.0
2017,minor_maintenance,minor_activity,139,11,0,10155701.95,25.88
2017,redevelopment_signal,redevelopment_signal,337,337,337,13897433.61,65.49
2017,residential_growth,major_growth,1684,1684,1684,416118954.34,84.68
2017,residential_growth,moderate_activity,545,545,545,10433099.31,63.21
2018,accessory_or_misc,minor_activity,241,5,0,4402393.71,31.4
2018,administrative_or_unknown,unknown,291,0,0,77958747.66,13.19
2018,commercial_activity,major_growth,75,75,75,37154471.5,87.47
2018,commercial_activity,moderate_activity,133,133,133,899736.95,62.92
2018,demolition,redevelopment_signal,69,69,69,45292054.25,58.78
2018,industrial_activity,major_growth,2,2,2,272500.0,84.0
2018,industrial_activity,moderate_activity,1,1,1,0.0,66.0
2018,institutional_activity,major_growth,1,1,1,749434.05,86.0
2018,minor_maintenance,minor_activity,214,12,0,5190896.22,25.65
2018,redevelopment_signal,redevelopment_signal,273,273,273,16226246.57,65.61
2018,residential_growth,major_growth,1781,1781,1781,453729537.06,85.15
2018,residential_growth,moderate_activity,512,512,512,11382245.24,63.82
2019,accessory_or_misc,minor_activity,233,2,0,4599757.65,31.02
2019,administrative_or_unknown,unknown,322,0,0,55385157.16,13.84
2019,commercial_activity,major_growth,55,55,55,23726608.27,87.16
2019,commercial_activity,moderate_activity,127,127,127,876669.78,63.34
2019,demolition,redevelopment_signal,92,92,92,5641052.0,59.28
2019,industrial_activity,major_growth,2,2,2,1160500.0,92.0
2019,industrial_activity,moderate_activity,1,1,1,66210.0,74.0
2019,minor_maintenance,minor_activity,274,14,0,7413947.85,24.71
2019,redevelopment_signal,redevelopment_signal,369,369,369,17802928.37,66.11
2019,residential_growth,major_growth,1730,1730,1730,329209803.36,84.86
2019,residential_growth,moderate_activity,515,515,515,12535528.03,63.64
2020,accessory_or_misc,minor_activity,262,7,0,5668601.49,30.87
2020,administrative_or_unknown,unknown,193,0,0,19627697.41,12.17
2020,commercial_activity,major_growth,58,58,58,41566095.0,89.17
2020,commercial_activity,moderate_activity,129,129,129,971615.65,63.19
2020,demolition,redevelopment_signal,79,79,79,25344780.0,58.91
2020,industrial_activity,moderate_activity,2,2,2,15000.0,66.0
2020,institutional_activity,major_growth,1,1,1,647279.0,98.0
2020,minor_maintenance,minor_activity,169,9,0,11521386.82,25.11
2020,redevelopment_signal,redevelopment_signal,350,350,350,12073905.68,65.38
