official_parcel_id,objectid_1,pin14,flood_severity_class,buildability_impact,dominant_flood_zone,flood_zone_codes,floodway_present,sfha_present,moderate_flood_present,parcel_area_acres,flood_constrained_area_acres,floodway_area_acres,sfha_area_acres,percent_parcel_constrained,percent_parcel_floodway,percent_parcel_sfha,flood_review_required,flood_constraint_score,overlay_confidence
CFS-PARCEL-0149819176,149819176,56311969440000,severe,severe,X,"['AE', 'X']",True,True,True,3.8120,2.4272,1.2022,1.9876,63.6741,31.5362,52.1412,True,92.91,high
CFS-PARCEL-0149759669,149759669,55198664730000,severe,severe,X,"['AE', 'X']",True,True,True,0.7167,0.4143,0.2396,0.3546,57.8044,33.4379,49.4814,True,92.91,high
CFS-PARCEL-0149775846,149775846,55479590540000,severe,severe,X,"['AE', 'X']",True,True,True,2.1802,1.3798,0.6884,1.1957,63.2854,31.5740,54.8436,True,92.90,high
CFS-PARCEL-0149750071,149750071,55080033930000,severe,severe,X,"['AE', 'X']",True,True,True,0.5650,0.3419,0.1835,0.2838,60.5068,32.4792,50.2326,True,92.90,high
CFS-PARCEL-0149826761,149826761,56314305520000,severe,severe,AE,"['AE', 'X']",True,True,True,21.7736,17.3964,5.6487,16.1365,79.8971,25.9431,74.1107,True,92.89,high
CFS-PARCEL-0149783738,149783738,55478534260000,severe,severe,X,"['AE', 'X']",True,True,True,5.8788,3.8067,1.8246,3.5293,64.7534,31.0377,60.0344,True,92.89,high
CFS-PARCEL-0149759008,149759008,55196694820000,severe,severe,AE,"['AE', 'X']",True,True,True,1.0447,0.9805,0.2219,0.9025,93.8507,21.2420,86.3848,True,92.88,high
CFS-PARCEL-0149791293,149791293,56113624490000,severe,severe,AE,"['AE', 'X']",True,True,True,5.2719,4.8460,1.1558,4.6061,91.9213,21.9242,87.3709,True,92.88,high
CFS-PARCEL-0149791294,149791294,56113624490000,severe,severe,AE,"['AE', 'X']",True,True,True,5.2719,4.8460,1.1558,4.6061,91.9213,21.9242,87.3709,True,92.88,high
CFS-PARCEL-0149800162,149800162,56137392310000,severe,severe,AE,"['AE', 'X']",True,True,True,0.4193,0.3725,0.0961,0.3615,88.8367,22.9136,86.2081,True,92.88,high
CFS-PARCEL-0149777942,149777942,55371137540000,severe,severe,AE,"['AE', 'X']",True,True,True,50.7622,38.5684,13.8191,34.6274,75.9787,27.2232,68.2149,True,92.88,high
CFS-PARCEL-0149753971,149753971,55165419350000,severe,severe,X,"['AE', 'X']",True,True,True,9.4122,4.6737,3.3835,4.4598,49.6562,35.9484,47.3835,True,92.88,high
CFS-PARCEL-0149772132,149772132,55395049590000,severe,severe,AE,"['AE', 'X']",True,True,True,3.0775,2.9240,0.6399,2.5027,95.0116,20.7919,81.3227,True,92.87,high
CFS-PARCEL-0149746506,149746506,55066925870000,severe,severe,AE,"['AE', 'X']",True,True,True,1.0268,0.8372,0.2598,0.6894,81.5351,25.2983,67.1451,True,92.87,high
CFS-PARCEL-0149774587,149774587,55455763130000,severe,severe,AE,"['AE', 'X']",True,True,True,1.5548,1.1293,0.4364,1.0217,72.6357,28.0663,65.7165,True,92.84,high
CFS-PARCEL-0149793436,149793436,56021340250000,severe,severe,AE,"['AE', 'X']",True,True,True,1.9634,1.7461,0.4427,1.4745,88.9345,22.5483,75.0981,True,92.83,high
CFS-PARCEL-0149768176,149768176,55374792200000,severe,severe,AE,"['AE', 'X']",True,True,True,6.3964,5.4616,1.5127,4.8560,85.3854,23.6495,75.9172,True,92.82,high
CFS-PARCEL-0149749328,149749328,55080083010000,severe,severe,X,"['AE', 'X']",True,True,True,0.8804,0.5888,0.2625,0.5258,66.8824,29.8194,59.7229,True,92.82,high
CFS-PARCEL-0149824560,149824560,56606404950000,severe,severe,AE,"['AE', 'X']",True,True,True,1.1208,1.0590,0.2309,1.0179,94.4855,20.6039,90.8209,True,92.81,high
CFS-PARCEL-0149758304,149758304,55184802780000,severe,severe,X,"['AE', 'X']",True,True,True,1.3170,0.9108,0.3821,0.6887,69.1572,29.0084,52.2893,True,92.81,high
CFS-PARCEL-0149750118,149750118,55087185310000,severe,severe,X,"['AE', 'X']",True,True,True,0.3568,0.3568,0.0663,0.1881,100.0000,18.5708,52.7253,True,92.79,high
CFS-PARCEL-0149768172,149768172,55374638130000,severe,severe,AE,['AE'],True,True,False,1.7712,1.7712,0.3298,1.7712,99.9999,18.6184,99.9999,True,92.79,high
CFS-PARCEL-0149826192,149826192,56607383740000,severe,severe,X,"['AE', 'X']",True,True,True,10.3361,6.0696,3.3468,5.5535,58.7224,32.3800,53.7294,True,92.79,high
CFS-PARCEL-0149805425,149805425,56208180950000,severe,severe,AE,['AE'],True,True,False,0.8067,0.8067,0.1494,0.8067,100.0000,18.5264,100.0000,True,92.78,high
