jurisdiction_name,zoning_code_raw,zoning_general_raw,zoning_type_raw,base_district_raw,conditional_raw,zoning_label_normalized,zoning_general_normalized,feature_count,total_area_acres
Kannapolis,R4,,,,,R4,residential,4,6.52
Kannapolis,R8,,,,,R8,residential,4,1.38
Kannapolis,GC-CZ,,,,,GC-CZ,commercial,3,14.64
Kannapolis,O-I,,,C-2,,O-I,unknown,3,77.64
Kannapolis,PD,,,PUD,,PD,unknown,3,79.25
Kannapolis,R18-CZ,,,RC,,R18-CZ,residential,3,96.84
Kannapolis,R2,,,RL,,R2,residential,3,44.85
Kannapolis,R2,,,AG,,R2,agricultural,3,38.71
Kannapolis,CC,,,RV,,CC,commercial,2,3.53
Kannapolis,GC-CZ,,,OI,,GC-CZ,office,2,4.24
Kannapolis,LI-CZ,,,I-1,,LI-CZ,industrial,2,92.28
Kannapolis,PD,,,RV,,PD,residential,2,106.57
Kannapolis,PD,,,,,PD,unknown,2,238.72
Kannapolis,PD,,,C-2,,PD,unknown,2,56.75
Kannapolis,R18-CZ,,,C-1,,R18-CZ,residential,2,15.73
Kannapolis,R4,,,C-2,,R4,residential,2,0.47
Kannapolis,R4,,,OI,,R4,office,2,0.88
Kannapolis,R4-CZ,,,,,R4-CZ,residential,2,3.23
Kannapolis,R8,,,B-1,,R8,residential,2,0.68
Kannapolis,R8-CZ,,,C-2,,R8-CZ,residential,2,0.91
Kannapolis,R8-CZ,,,OI,,R8-CZ,office,2,63.35
Kannapolis,CC-CZ,,,RV,,CC-CZ,commercial,1,1.95
Kannapolis,CD-CZ,,,PUD,,CD-CZ,unknown,1,21.96
Kannapolis,CD-CZ,,,CD,,CD-CZ,unknown,1,111.48
Kannapolis,CD-R,,,CD-R,,CD-R,unknown,1,41.39
Kannapolis,CD-R-CZ,,,CD-R,,CD-R-CZ,unknown,1,21.88
Kannapolis,CD-R-CZ,,,CD,,CD-R-CZ,unknown,1,16.69
Kannapolis,GC,,,RC,,GC,commercial,1,0.28
Kannapolis,GC-CZ,,,R1,,GC-CZ,commercial,1,1.45
Kannapolis,GC-CZ,,,PUD,,GC-CZ,commercial,1,10.0
Kannapolis,HI-CZ,,,OI,,HI-CZ,office,1,55.64
Kannapolis,LI-CZ,,,,,LI-CZ,industrial,1,3.24
Kannapolis,MU-N-CZ,,,RV,,MU-N-CZ,mixed_use,1,0.18
Kannapolis,O-I,,,O,,O-I,unknown,1,2.24
Kannapolis,O-I,,,,,O-I,unknown,1,0.34
Kannapolis,OI-CZ,,,RM-2,,OI-CZ,office,1,3.4
Kannapolis,PD,,,I-1,,PD,unknown,1,70.1
