official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,municipal_zoning_dominates_county_overlap,has_nearly_equal_overlap_split,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149827184,149827184,56339933240000,review,HERITAGE OAKS ESTATES,HERITAGE OAKS ESTATES,Kannapolis,,R8,residential,3,2,0.994135,Cabarrus County / Unincorporated,LDR,0.003926,0.990209,high,multi_jurisdiction_assigned,True,False,2,0.461837
CFS-PARCEL-0149827185,149827185,56339933240000,review,HERITAGE OAKS ESTATES,HERITAGE OAKS ESTATES,Kannapolis,,R8,residential,3,2,0.994135,Cabarrus County / Unincorporated,LDR,0.003926,0.990209,high,multi_jurisdiction_assigned,True,False,2,0.461837
CFS-PARCEL-0149733014,149733014,46725015280000,trusted,WEST CABARRUS,RENAISSANCE SQUARE,Kannapolis,,GC,commercial,3,2,0.990249,Cabarrus County / Unincorporated,CR,1.7e-05,0.990232,high,multi_jurisdiction_assigned,True,False,2,7.64076
CFS-PARCEL-0149788533,149788533,56049038760000,review,RAINBOW DR,WAGSTAFF'S TOWN & COUNTRY MHP,Kannapolis,,R18,residential,2,2,1.0,Cabarrus County / Unincorporated,LDR,0.009761,0.990239,high,multi_jurisdiction_assigned,True,False,1,1.9e-05
CFS-PARCEL-0149728524,149728524,45988269330000,review,CHARLOTTE MOTOR SPEEDWAY,,Cabarrus County / Unincorporated,,LI,industrial,3,2,1.0,Concord,I-1,0.009753,0.990247,high,multi_jurisdiction_assigned,False,False,2,1.316835
CFS-PARCEL-0149757197,149757197,55182645980000,trusted,ROBERTA MILLS,MICHAEL L & DORIS B BURRIS PROPERTY,Cabarrus County / Unincorporated,,MDR,residential,2,2,1.0,Concord,RM-2,0.009738,0.990262,high,multi_jurisdiction_assigned,False,False,1,1.819931
CFS-PARCEL-0149733928,149733928,46729462670000,trusted,CANNON MANOR,CANNON MANORS,Kannapolis,,R18-CZ,residential,2,2,0.995586,Cabarrus County / Unincorporated,CR,0.005322,0.990264,high,multi_jurisdiction_assigned,True,False,1,1.139737
CFS-PARCEL-0149762642,149762642,55281424450000,trusted,STOUGH ROAD,MORRISON RIDGE LLC,Concord,,C-2-CU,unknown,5,2,0.999887,Cabarrus County / Unincorporated,LI,0.009617,0.990271,high,multi_jurisdiction_assigned,True,False,4,113.194302
CFS-PARCEL-0149731088,149731088,46714972570000,trusted,SKYBROOK VILLAGE,THE VILLAGES AT SKYBROOK NORTH,Concord,,RV-CD,residential,2,2,1.0,Cabarrus County / Unincorporated,LDR,0.009711,0.990288,high,multi_jurisdiction_assigned,True,False,1,0.331013
CFS-PARCEL-0149775256,149775256,55492551860000,review,HWY 601 / 49,,Concord,Concord,O-I,unknown,3,2,0.99896,Cabarrus County / Unincorporated,CR,0.008669,0.990291,high,multi_jurisdiction_assigned,True,False,2,8.621855
CFS-PARCEL-0149758067,149758067,55196250570000,trusted,FRANK LISKE PARK,PARKVIEW,Concord,,RM-2,residential,2,2,0.990326,Cabarrus County / Unincorporated,OI,0.0,0.990326,high,multi_jurisdiction_assigned,True,False,1,0.249015
CFS-PARCEL-0149743014,149743014,46934217030000,review,LAKE HOWELL WATERSHED,,Cabarrus County / Unincorporated,,AO,agricultural,2,2,0.996132,Kannapolis,R1,0.005778,0.990354,high,multi_jurisdiction_assigned,False,False,1,14.299798
