official_parcel_id,objectid_1,pin14,nbh_name,subdiv_name,parcel_quality_status,parcel_area_acres_calc,nearest_zoning_distance_m,zoning_join_status
CFS-PARCEL-0149720805,149720805,142 049,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,139.846602,1564.43,no_match
CFS-PARCEL-0149720733,149720733,141 0010000001,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,135.63988,3594.15,no_match
CFS-PARCEL-0149749346,149749346,55082425460000,CONCORD PARKWAY SOUTH,,review,131.566403,688.97,no_match
CFS-PARCEL-0149725396,149725396,244 011,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,130.456884,3848.3,no_match
CFS-PARCEL-0149720631,149720631,132 108,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,124.772876,5217.98,no_match
CFS-PARCEL-0149794476,149794476,56123158220000,BISCAYNE / TRINITY CHURCH,,review,119.053148,4564.21,no_match
CFS-PARCEL-0149752187,149752187,55097361790000,ROBERTA MILLS,,review,118.389709,2643.05,no_match
CFS-PARCEL-0149817395,149817395,56300113340000,HWY 601 / 49,NO SUBDIVISION,review,116.284232,1637.92,no_match
CFS-PARCEL-0149820198,149820198,56317103210000,NEW GILEAD,,review,108.667356,640.11,no_match
CFS-PARCEL-0149752668,149752668,55097577930000,CONCORD PARKWAY SOUTH,TRADEPARK AT CONCORD,review,108.473734,2660.7,no_match
CFS-PARCEL-0149752787,149752787,55098461830000,ROBERTA MILLS,,review,108.173805,2123.85,no_match
CFS-PARCEL-0149783833,149783833,56009582390000,CABARRUS COUNTRY CLUB,,review,107.937668,4934.76,no_match
CFS-PARCEL-0149783834,149783834,56009582390000,CABARRUS COUNTRY CLUB,,review,107.937668,4934.76,no_match
CFS-PARCEL-0149783835,149783835,56009582390000,CABARRUS COUNTRY CLUB,,review,107.937668,4934.76,no_match
CFS-PARCEL-0149786752,149786752,56031012770000,KANNAPOLIS PARKWAY,PLAT 103.590 AC - KANNAPOLIS PKWY,review,103.717086,1506.65,no_match
CFS-PARCEL-0149786773,149786773,56031012770000,KANNAPOLIS PARKWAY,PLAT 103.590 AC - KANNAPOLIS PKWY,review,103.717086,1506.65,no_match
CFS-PARCEL-0149752131,149752131,55091820390000,CONCORD PARKWAY SOUTH,,review,97.213409,3882.81,no_match
CFS-PARCEL-0149742039,149742039,46917964890000,BISCAYNE / TRINITY CHURCH,PROJECT HERCULES,trusted,90.741299,344.03,no_match
CFS-PARCEL-0149758888,149758888,55193316550000,CONCORD PARKWAY SOUTH,CARVANA CONCORD,trusted,89.886178,543.96,no_match
CFS-PARCEL-0149755575,149755575,55176928810000,STOUGH ROAD,NO SUBDIVISION,review,88.441054,290.86,no_match
CFS-PARCEL-0149760105,149760105,55094647330000,CONCORD PARKWAY SOUTH,,review,88.259447,4072.83,no_match
CFS-PARCEL-0149741128,149741128,46909736650000,AIRPORT,,review,87.57254,930.19,no_match
CFS-PARCEL-0149793532,149793532,56024325590000,NORTHWEST CABARRUS SCHOOL,,review,85.322659,2302.87,no_match
CFS-PARCEL-0149773750,149773750,55443139730000,BETHEL ELEMENTARY SCHOOL,,review,83.997249,579.46,no_match
CFS-PARCEL-0149795950,149795950,56033435860000,NORTHWEST CABARRUS SCHOOL,NO SUBDIVISION,review,83.469734,943.11,no_match
CFS-PARCEL-0149820807,149820807,56331876880000,I-85 AT LANE STREET,,review,82.927616,536.87,no_match
CFS-PARCEL-0149791966,149791966,56114918440000,WINECOFF SCHOOL,NO SUBDIVISION,review,81.003273,3802.12,no_match
CFS-PARCEL-0149780242,149780242,55699935580000,MT PLEASANT OUTSIDE,,review,80.103566,976.74,no_match
CFS-PARCEL-0149773455,149773455,55442130530000,BETHEL ELEMENTARY SCHOOL,,review,77.352911,724.71,no_match
CFS-PARCEL-0149783542,149783542,56007478020000,CABARRUS COUNTRY CLUB,,review,76.67541,4399.19,no_match
CFS-PARCEL-0149722190,149722190,147 031,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,review,76.348413,4552.41,no_match
CFS-PARCEL-0149787250,149787250,56037291950000,BETHPAGE RD AREA,,review,75.501709,1755.39,no_match
CFS-PARCEL-0149752220,149752220,55094057000000,CONCORD PARKWAY SOUTH,,review,75.046857,2017.0,no_match
CFS-PARCEL-0149760264,149760264,55097818250000,CONCORD PARKWAY SOUTH,,review,75.002538,3553.7,no_match
CFS-PARCEL-0149760265,149760265,55097818250000,CONCORD PARKWAY SOUTH,,review,75.002538,3553.7,no_match
CFS-PARCEL-0149815369,149815369,56239679650000,I-85 AT LANE STREET,,review,74.950236,1196.58,no_match
CFS-PARCEL-0149825691,149825691,56700065410000,MT PLEASANT OUTSIDE,,review,72.346935,1645.51,no_match
CFS-PARCEL-0149749538,149749538,55080161680000,HARRISBURG CITY NORTH,,review,71.936005,859.43,no_match
CFS-PARCEL-0149726909,149726909,45977942470000,HARRISBURG CITY NORTH,,review,71.484715,971.14,no_match
