official_parcel_id,objectid_1,pin14,subdiv_name,nbh_name,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,planning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,primary_governance_warning,total_permit_count,first_permit_date,latest_permit_date,active_year_count,recent_permit_count_1yr,recent_permit_count_3yr,total_permit_amount,avg_permit_amount,dominant_permit_type,dominant_work_type,latest_permit_status,ambiguous_permit_count,has_unmatched_or_ambiguous_permit_flag,co_date_future_outlier_count,development_activity_score,development_activity_class
CFS-PARCEL-0149752220,149752220,55094057000000,,CONCORD PARKWAY SOUTH,review,ultra_high,commercial_large,Concord,,RM-1,residential,high,review_sliver_overlap,10,2004-06-01,2024-09-13,6,0,1,1619800.0,404950.0,commercial_new_construction,commercial_upfit,closed,0,False,0,74.63,very_high_activity
CFS-PARCEL-0149743179,149743179,46939095380000,PINE CREEK PHII,PINE CREEK,trusted,luxury,residential_standard,Kannapolis,,R1,residential,high,review_sliver_overlap,6,2007-05-01,2025-11-24,4,2,2,1357336.0,339334.0,extra_feature,residential_accessory_structure,closed,0,False,0,74.4,very_high_activity
CFS-PARCEL-0149726611,149726611,45899218700000,KINGS GRANT PLAZA,CONCORD MILLS,trusted,ultra_high,estate,Concord,,C-2,unknown,high,jurisdiction_code_semantics_review,4,2011-12-16,2025-09-09,2,3,3,1240000.0,413333.3333333333,other,commercial_upfit,closed,0,False,0,74.28,very_high_activity
CFS-PARCEL-0149726062,149726062,45892637300000,,CONCORD MILLS,review,ultra_high,commercial_large,Cabarrus County / Unincorporated,,OI,office,high,review_multi_jurisdiction,13,2020-12-17,2020-12-18,1,0,0,38637772.0,2972136.3076923075,commercial_new_construction,,,0,False,0,74.0,very_high_activity
CFS-PARCEL-0149796352,149796352,56129682520000,BRIDGES OF KANNAPOIS,MIDWAY EAST,trusted,ultra_high,commercial_large,Kannapolis,,R18,residential,medium,safe_for_dashboard,12,2019-06-24,2021-05-24,3,0,0,8317486.0,693123.8333333334,other,,,0,False,0,74.0,very_high_activity
CFS-PARCEL-0149750925,149750925,46918146950000,"CK LAKE POINTE CORP CENTER, LLC",GEORGE LILES PARKWAY,trusted,ultra_high,commercial_large,Kannapolis,,CD,unknown,high,review_multi_jurisdiction,8,2017-03-17,2025-10-09,5,1,1,8238991.0,1176998.7142857143,upfit,commercial_upfit,closed,0,False,0,74.0,very_high_activity
CFS-PARCEL-0149820198,149820198,56317103210000,,NEW GILEAD,review,ultra_high,extreme_large,Concord,Concord,RM-1,residential,high,review_sliver_overlap,6,2009-09-01,2025-12-19,5,1,3,10731000.0,2682750.0,upfit,commercial_upfit,issued,0,False,0,74.0,very_high_activity
CFS-PARCEL-0149802883,149802883,56201067770000,,FLEETWOOD AVE AREA,review,medium,residential_standard,Concord,,RM-2,residential,high,safe_for_dashboard,9,2018-10-09,2024-03-18,6,0,3,40500.0,4500.0,extra_feature,residential_deck,issued,0,False,0,73.82,very_high_activity
CFS-PARCEL-0149764413,149764413,55292044970000,STONEWALL JACKSON MANUAL TRAINING & INDUSTRIAL SCH,STOUGH ROAD,trusted,ultra_high,extreme_large,Cabarrus County / Unincorporated,,LI,industrial,high,review_multi_jurisdiction,11,2010-02-09,2021-08-27,6,0,0,784300.4,112042.91428571429,other,,,0,False,0,73.68,very_high_activity
CFS-PARCEL-0149790287,149790287,56109294590000,,CONCORD PARKWAY SOUTH,review,ultra_high,estate,Concord,,C-2,unknown,high,review_sliver_overlap,12,2004-02-01,2016-01-15,5,0,0,161840.0,23120.0,other,,,0,False,0,73.63,very_high_activity
CFS-PARCEL-0149810204,149810204,56217983380000,,OVERBROOK,review,medium,residential_standard,Concord,,RM-1,residential,high,safe_for_dashboard,7,2012-05-14,2024-02-09,4,0,5,745000.0,124166.66666666667,addition_residential,residential_addition,issued,0,False,0,73.62,very_high_activity
CFS-PARCEL-0149763422,149763422,55283332310000,,STOUGH ROAD,review,ultra_high,commercial_large,Cabarrus County / Unincorporated,,OI,office,high,review_multi_jurisdiction,10,2012-11-02,2024-05-24,6,0,1,684097.0,114016.16666666667,other,commercial_sign,closed,0,False,0,73.51,very_high_activity
CFS-PARCEL-0149790311,149790311,56109972510000,DONALD E. WHITAKER,CONCORD PARKWAY NORTH,trusted,ultra_high,estate,Concord,,C-2,unknown,high,review_sliver_overlap,7,2003-07-01,2025-03-17,7,1,3,6600.0,3300.0,commercial_new_construction,commercial_abc_store,closed,0,False,0,73.46,very_high_activity
