zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,parcel_count,multiple_zoning_count,multiple_zoning_jurisdiction_count,low_confidence_count,no_match_count,municipal_dominates_county_count,nearly_equal_split_count,tiny_sliver_count,avg_dominant_overlap_pct,min_dominant_overlap_pct,max_dominant_overlap_pct
Concord,AG,agricultural,AG,13,10,1,0,0,1,0,10,0.999933,0.999597,1.0
Locust,HC,commercial,HC,13,5,3,0,0,3,0,4,0.994953,0.946092,1.0
Cabarrus County / Unincorporated,LI-SU,industrial,LI-SU,11,8,5,0,0,0,0,7,0.988541,0.913658,1.0
Concord,C-1-CD,unknown,C-1-CD,11,11,0,0,0,0,0,11,0.999306,0.996858,1.0
Mt. Pleasant,C-2,unknown,C-2,11,10,1,3,0,1,0,10,0.844928,0.52434,1.0
Mt. Pleasant,CZ-RH,unknown,CZ-RH,10,8,0,0,0,0,0,6,0.97273,0.838976,1.0
Cabarrus County / Unincorporated,HDR,residential,HDR,9,7,5,0,0,0,0,6,0.978631,0.887063,1.0
Harrisburg,EC,mixed_use,EC,9,5,0,0,0,0,0,1,0.961169,0.873987,1.0
Kannapolis,LI-CZ,industrial,LI-CZ,9,9,6,0,0,5,0,9,0.995405,0.983079,1.0
Cabarrus County / Unincorporated,GI-SU,industrial,GI-SU,8,8,3,0,0,0,0,8,0.960836,0.83453,0.999994
Kannapolis,CC-CZ,commercial,CC-CZ,8,2,0,0,0,0,0,2,0.999999,0.999991,1.0
Cabarrus County / Unincorporated,AO-CU,agricultural,AO-CU,7,5,0,0,0,0,0,3,0.97708,0.857653,1.0
Cabarrus County / Unincorporated,LDR-SU,residential,LDR-SU,7,7,0,1,0,0,1,4,0.894989,0.498982,0.999998
Concord,MX-IB,mixed_use,MX-IB,7,5,0,0,0,0,0,5,0.999982,0.999885,1.0
Kannapolis,R8,office,R8,7,7,0,1,0,0,0,3,0.935523,0.712526,0.996458
Midland,MS,unknown,MS,7,4,0,0,0,0,0,2,0.962617,0.792651,1.0
Harrisburg,CZ-RL,unknown,CZ-RL,6,6,6,0,0,6,0,6,0.991785,0.973993,0.999301
Kannapolis,CD-R-CZ,unknown,CD-R-CZ,6,5,0,0,0,0,0,5,0.995835,0.98446,1.0
Kannapolis,O-I,unknown,O-I,6,6,1,3,0,1,0,5,0.811235,0.592793,1.0
Harrisburg,CZ-OI,office,CZ-OI,5,5,0,0,0,0,0,5,0.971003,0.859992,1.0
Kannapolis,CD-CZ,unknown,CD-CZ,5,3,0,0,0,0,0,3,0.990388,0.971752,1.0
Kannapolis,GC-CZ,office,GC-CZ,5,2,0,0,0,0,0,0,0.974423,0.905122,1.0
Midland,R/MST,unknown,R/MST,5,2,1,2,0,1,0,1,0.821756,0.495305,1.0
Mt. Pleasant,CZ-C-2,unknown,CZ-C-2,5,5,0,0,0,0,0,4,0.989398,0.974159,1.0
Cabarrus County / Unincorporated,MDR-SU,residential,MDR-SU,4,4,0,0,0,0,0,2,0.935955,0.770832,0.999998
Concord,(no match),unknown,UNKNOWN,4,4,4,0,0,4,4,4,0.999983,0.999944,1.0
Concord,MX-NC,mixed_use,MX-NC,4,4,0,0,0,0,0,4,0.998492,0.995849,0.999999
Harrisburg,NC,unknown,NC,4,4,0,0,0,0,0,2,0.981045,0.945888,0.996293
Kannapolis,R18,agricultural,R18,4,2,0,0,0,0,0,2,0.993482,0.978343,0.999974
Kannapolis,R2,agricultural,R2,4,4,0,0,0,0,0,2,0.979631,0.935539,1.0
Mt. Pleasant,CZ-O-I,unknown,CZ-O-I,4,4,0,0,0,0,0,4,0.999769,0.999083,1.0
Cabarrus County / Unincorporated,LC-SU,commercial,LC-SU,3,3,2,0,0,0,0,3,0.993645,0.989869,0.999285
Concord,C-1-CU,unknown,C-1-CU,3,3,0,0,0,0,0,3,0.998833,0.996559,0.999997
Concord,CD,unknown,CD,3,2,0,0,0,0,0,1,0.971826,0.916737,1.0
Concord,not-yet-zoned,unknown,NOT-YET-ZONED,3,3,3,0,0,3,0,3,0.999697,0.999645,0.999781
Kannapolis,R18,office,R18,3,2,0,0,0,0,0,1,0.991439,0.977172,0.999982
Midland,SFR-TNDO-CZ,unknown,SFR-TNDO-CZ,3,2,2,0,0,2,0,2,0.999252,0.998018,1.0
Cabarrus County / Unincorporated,AO-SU,agricultural,AO-SU,2,2,1,0,0,0,0,0,0.97485,0.949701,1.0
Cabarrus County / Unincorporated,GC-SU,commercial,GC-SU,2,2,0,0,0,0,0,1,1.0,1.0,1.0
Cabarrus County / Unincorporated,LI,office,LI,2,2,2,0,0,0,0,2,0.999408,0.998817,1.0
Concord,B-1-CU,unknown,B-1-CU,2,2,1,0,0,1,0,2,0.996342,0.992687,0.999998
Concord,O-I-CU,unknown,O-I-CU,2,2,0,0,0,0,0,2,0.999818,0.999638,0.999999
Harrisburg,CZ-CC,mixed_use,CZ-CC,2,2,0,1,0,0,0,2,0.847115,0.69423,1.0
Harrisburg,CZ-GC,unknown,CZ-GC,2,2,0,0,0,0,0,2,0.97892,0.974288,0.983552
Harrisburg,CZ-RH,unknown,CZ-RH,2,2,2,0,0,2,0,2,0.919041,0.838082,1.0
Harrisburg,RM,commercial,RM,2,2,2,0,0,2,0,2,0.876219,0.876219,0.876219
Kannapolis,CD-R,unknown,CD-R,2,2,0,0,0,0,0,2,0.999979,0.999966,0.999992
Kannapolis,OI-CZ,office,OI-CZ,2,2,0,0,0,0,0,1,0.988314,0.986539,0.99009
Kannapolis,R4,office,R4,2,2,0,0,0,0,0,2,0.97005,0.969918,0.970182
Locust,CBI,unknown,CBI,2,2,2,0,0,0,0,2,0.996458,0.992915,1.0
Cabarrus County / Unincorporated,OI-SU,office,OI-SU,1,1,0,0,0,0,0,1,0.997277,0.997277,0.997277
Concord,AG-CD,agricultural,AG-CD,1,1,0,0,0,0,0,1,0.999945,0.999945,0.999945
Concord,CC-CD,commercial,CC-CD,1,1,0,0,0,0,0,1,0.999998,0.999998,0.999998
Concord,RE-CU,residential,RE-CU,1,1,0,0,0,0,0,1,0.982459,0.982459,0.982459
Harrisburg,CZ-AG,unknown,CZ-AG,1,1,1,0,0,1,0,1,0.985243,0.985243,0.985243
Harrisburg,CZ-NC,residential,CZ-NC,1,1,1,0,0,1,0,1,0.989371,0.989371,0.989371
Kannapolis,HI-CZ,office,HI-CZ,1,1,1,0,0,1,0,1,0.999765,0.999765,0.999765
Kannapolis,R18-CZ,agricultural,R18-CZ,1,1,0,0,0,0,0,1,0.917406,0.917406,0.917406
Kannapolis,R6,residential,R6,1,1,0,0,0,0,0,0,0.962721,0.962721,0.962721
Kannapolis,R6-CZ,residential,R6-CZ,1,1,0,0,0,0,0,0,0.978341,0.978341,0.978341
Midland,C 601-CZ,unknown,C 601-CZ,1,1,1,0,0,1,0,1,1.0,1.0,1.0
Midland,MSP,unknown,MSP,1,1,0,0,0,0,0,1,1.0,1.0,1.0
Mt. Pleasant,RE,residential,RE,1,1,1,0,0,1,0,1,0.997386,0.997386,0.997386
