official_parcel_id,objectid_1,pin14,planning_jurisdiction_name,planning_boundary_type,boundary_name,jurisdiction_overlap_count,dominant_jurisdiction_overlap_pct,total_jurisdiction_overlap_pct,jurisdiction_assignment_confidence,has_multiple_jurisdictions,jurisdiction_join_status,parcel_quality_status,nbh_name,subdiv_name,parcel_area_acres_calc
CFS-PARCEL-0149826693,149826693,56700617650000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,8.9e-05,8.9e-05,low,False,single_boundary_low_confidence,review,MT PLEASANT NORTH,,0.810636
CFS-PARCEL-0149765122,149765122,55173391470000,Harrisburg,etj,Town of Harrisburg,1,9.3e-05,9.3e-05,low,False,single_boundary_low_confidence,trusted,HARMONY,HARMONY,0.183214
CFS-PARCEL-0149788266,149788266,55697745390000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,9.3e-05,9.3e-05,low,False,single_boundary_low_confidence,trusted,MT PLEASANT HIGH SCHOOL,FINK SCHOOL SUBD,4.367998
CFS-PARCEL-0149826848,149826848,56320221030000,Concord,etj,City of Concord,1,0.000101,0.000101,low,False,single_boundary_low_confidence,trusted,BRIDLEWOOD PLACE,OVERBROOK,2.576068
CFS-PARCEL-0149812113,149812113,56227328500000,Concord,etj,City of Concord,1,0.000103,0.000103,low,False,single_boundary_low_confidence,trusted,BRIDLEWOOD PLACE,PARTRIDGE BLUFF,1.473086
CFS-PARCEL-0149750435,149750435,55084096330000,Harrisburg,etj,Town of Harrisburg,1,0.000104,0.000104,low,False,single_boundary_low_confidence,trusted,ROCKY RIVER CROSSING,ROCKY RIVER CROSSING,0.295014
CFS-PARCEL-0149818794,149818794,56306407460000,Concord,etj,City of Concord,1,0.000105,0.000105,low,False,single_boundary_low_confidence,review,SUMMIT DRIVE,,3.606052
CFS-PARCEL-0149781116,149781116,55794971100000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.000106,0.000106,low,False,single_boundary_low_confidence,trusted,OLDENBURG,OLDENBURG,0.825334
CFS-PARCEL-0149771775,149771775,55395357210000,Concord,etj,City of Concord,1,0.000107,0.000107,low,False,single_boundary_low_confidence,trusted,WINDROSE,WINDROSE,0.287733
CFS-PARCEL-0149819374,149819374,56321224910000,Concord,etj,City of Concord,1,0.000122,0.000122,low,False,single_boundary_low_confidence,trusted,CENTERGROVE,DIVISION OF 14.208 AC,2.361365
CFS-PARCEL-0149826546,149826546,56700643870000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.000125,0.000125,low,False,single_boundary_low_confidence,review,MT PLEASANT NORTH,,0.599843
CFS-PARCEL-0149720479,149720479,143D033,Kannapolis,etj,City of Kannapolis,1,0.000128,0.000128,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,4.039423
CFS-PARCEL-0149827336,149827336,56704856910000,Mt. Pleasant,etj,Town of Mt. Pleasant,1,0.000129,0.000129,low,False,single_boundary_low_confidence,trusted,HILLTOP ACRES,HILLTOP ACRES,0.681209
CFS-PARCEL-0149762456,149762456,55173289860000,Harrisburg,etj,Town of Harrisburg,1,0.000131,0.000131,low,False,single_boundary_low_confidence,trusted,HARMONY,HARMONY PH1A,0.55368
CFS-PARCEL-0149820715,149820715,56228928450000,Concord,etj,City of Concord,1,0.000135,0.000135,low,False,single_boundary_low_confidence,trusted,NORTHLIGHT,LOWE'S HOME CENTERS INC,0.089719
CFS-PARCEL-0149720633,149720633,140B184,Kannapolis,etj,City of Kannapolis,1,0.000141,0.000141,low,False,single_boundary_low_confidence,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,0.770279
