zoning_jurisdiction_name,dominant_zoning_general_normalized,dominant_zoning_code_raw,zoning_assignment_confidence,permit_count,parcel_count,ambiguous_permit_count,total_permit_amount
Concord,residential,RM-1,low,15,10,2,644973.0
Kannapolis,commercial,GC,low,15,10,4,272000.0
Kannapolis,mixed_use,MU-N,medium,15,11,0,893230.0
Cabarrus County / Unincorporated,commercial,LC-SU,high,14,2,0,82000.0
Midland,unknown,SFR-CZ,high,14,11,0,4122200.0
Mt. Pleasant,residential,RL,medium,14,5,4,3684198.0
Concord,residential,RM-2,medium,13,10,1,763480.0
Kannapolis,industrial,LI,medium,13,4,0,1243452.5
Kannapolis,residential,R8,low,13,10,0,930655.0
Midland,unknown,OM,high,13,9,0,397160.0
Cabarrus County / Unincorporated,residential,LDR-SU,high,12,1,0,210956.0
Concord,unknown,RC,medium,12,8,0,530555.0
Concord,residential,RV,medium,12,8,0,192600.0
Kannapolis,office,O-I,low,12,7,1,101000.0
Harrisburg,mixed_use,PUD,medium,11,5,4,1769357.4
Harrisburg,residential,RE,medium,11,8,1,525000.0
Kannapolis,industrial,LI,low,11,4,10,14420550.0
Midland,unknown,CIV,medium,11,1,0,284529.73
Concord,unknown,C-1,medium,10,2,0,1928800.0
Concord,unknown,I-1-CD,medium,10,1,0,5432000.0
Harrisburg,unknown,PUD,medium,10,1,0,413700.0
Kannapolis,unknown,PD-TND,low,10,6,3,7068490.0
Midland,unknown,CIV,high,10,4,0,1030161.0
Concord,residential,R-CO,low,9,8,0,
Kannapolis,industrial,LI-CZ,high,9,3,0,44722700.0
Kannapolis,residential,R4,low,9,7,0,316650.0
Midland,agricultural,AG,low,9,4,0,161489.89
Mt. Pleasant,unknown,C-2,low,9,3,9,3035892.0
Concord,unknown,CD,high,8,1,0,14203630.0
Concord,unknown,RC-CD,low,8,1,0,8387500.0
Concord,residential,RM-2-CD,medium,8,7,0,781501.0
Harrisburg,residential,RL,medium,8,5,0,170000.0
Kannapolis,commercial,CC,low,8,6,3,539792.0
Cabarrus County / Unincorporated,office,LI,high,7,1,0,80000.0
Cabarrus County / Unincorporated,residential,MDR-SU,high,7,3,0,196250.0
Concord,agricultural,AG,high,7,6,0,832992.0
Concord,unknown,C-1-CU,high,7,2,0,388800.0
Concord,residential,R-CO,medium,7,6,0,42000.0
Concord,residential,RV-CD,medium,7,4,0,974978.0
Harrisburg,residential,CZ-RE,high,7,7,1,370000.0
Harrisburg,residential,CZ-RH,low,7,7,0,1907846.0
Harrisburg,commercial,NC,medium,7,3,0,12000.0
Harrisburg,residential,RE,low,7,5,0,118063.0
Kannapolis,commercial,CC-CZ,high,7,7,0,1335113.0
Kannapolis,office,GC-CZ,high,7,2,0,481850.0
Kannapolis,residential,R2,medium,7,4,0,948750.0
Midland,unknown,SFR,low,7,3,0,405542.0
Mt. Pleasant,residential,RM,medium,7,4,0,294600.0
Cabarrus County / Unincorporated,agricultural,AO-CU,high,6,3,0,206000.0
Cabarrus County / Unincorporated,commercial,LC,low,6,3,0,715000.0
Concord,unknown,B-1,medium,6,1,0,21000.0
Concord,commercial,CC,medium,6,2,0,341610.0
Concord,residential,RM-2-CU,medium,6,6,0,157516.0
Concord,unknown,TND,low,6,1,0,245266.0
Harrisburg,mixed_use,CZ-CC,high,6,1,0,1665829.26
Harrisburg,residential,CZ-RL,medium,6,5,0,1224974.0
Harrisburg,industrial,EC,medium,6,3,0,785691.0
Harrisburg,office,OI,medium,6,3,4,81500.0
Kannapolis,agricultural,AG,medium,6,3,0,31000.0
Kannapolis,unknown,O-I,high,6,1,0,29000.0
Cabarrus County / Unincorporated,industrial,LI,medium,5,3,0,
Concord,unknown,I-2,low,5,1,0,
Concord,mixed_use,MX-NC,high,5,2,0,461500.0
Kannapolis,agricultural,R2,high,5,1,0,195500.0
Mt. Pleasant,unknown,CZ-C-2,high,5,2,0,294254.0
Mt. Pleasant,residential,RL,low,5,3,0,773570.0
Cabarrus County / Unincorporated,industrial,GI,medium,4,3,0,1278503.0
Cabarrus County / Unincorporated,industrial,LI-SU,high,4,4,0,30500.0
Cabarrus County / Unincorporated,residential,MDR,medium,4,2,0,66000.0
Concord,unknown,PUD,low,4,4,0,12000.0
Concord,unknown,RC,low,4,3,0,139093.0
Harrisburg,residential,CZ-RM,low,4,4,0,1133309.0
Harrisburg,residential,RL,low,4,2,0,159350.0
Midland,unknown,C 601-CZ,high,4,1,0,1473000.0
Midland,unknown,R/OMT,medium,4,1,0,94311.0
Mt. Pleasant,unknown,CZ-O-I,high,4,2,0,27000.0
Cabarrus County / Unincorporated,industrial,LI-SU,medium,3,1,0,400000.0
Cabarrus County / Unincorporated,office,OI,medium,3,2,0,1046975.0
Cabarrus County / Unincorporated,office,OI-SU,high,3,1,0,90000.0
Concord,unknown,C-2-CD,low,3,1,0,869438.0
Concord,unknown,O-I-CU,high,3,1,0,175000.0
Concord,residential,RE,medium,3,1,0,507273.0
Concord,residential,RE,high,3,2,0,119000.0
Concord,residential,RV-CD,low,3,2,1,204801.0
Harrisburg,residential,CZ-RM,medium,3,3,0,931023.0
Harrisburg,industrial,EC,low,3,2,1,
Harrisburg,unknown,NC,medium,3,1,0,2878376.14
Harrisburg,residential,RM,low,3,3,0,265568.0
Kannapolis,office,R18,high,3,3,0,300000.0
Kannapolis,agricultural,R2,medium,3,1,0,168000.0
Kannapolis,office,R8,high,3,2,0,140242.0
Locust,unknown,CBI,high,3,1,0,180000.0
(unmatched parcel),(unknown),(unknown),no_match,2,1,0,12500.0
Cabarrus County / Unincorporated,commercial,GC,low,2,1,0,16393.0
Cabarrus County / Unincorporated,residential,HDR,high,2,1,0,138000.0
Cabarrus County / Unincorporated,residential,MDR-SU,medium,2,1,0,
Concord,residential,RL,medium,2,2,0,365000.0
Concord,residential,RV,low,2,2,0,
Harrisburg,unknown,CZ-GC,high,2,1,0,1557828.24
Harrisburg,residential,CZ-RE,low,2,1,0,150000.0
Harrisburg,unknown,CZ-RL,high,2,2,0,450000.0
Kannapolis,unknown,C-1,medium,2,2,0,0.0
Kannapolis,mixed_use,MU-N,low,2,2,0,102500.0
Kannapolis,agricultural,R18-CZ,medium,2,1,0,328000.0
Kannapolis,residential,R8-CZ,low,2,2,0,10001.0
Kannapolis,office,R8-CZ,high,2,2,0,15600.0
Midland,unknown,MSP,high,2,1,0,718000.0
Mt. Pleasant,unknown,C-2,medium,2,1,0,2100.0
Mt. Pleasant,commercial,CC,medium,2,1,0,58000.0
Mt. Pleasant,office,OI,medium,2,1,0,9890.0
Mt. Pleasant,residential,RH,medium,2,2,0,25000.0
Mt. Pleasant,residential,RH,low,2,1,0,1570000.0
Cabarrus County / Unincorporated,industrial,GI-SU,high,1,1,0,250000.0
Concord,residential,RL,low,1,1,0,120000.0
Harrisburg,mixed_use,CZ-CC,low,1,1,0,68512.0
Harrisburg,office,OI,low,1,1,0,725000.0
Harrisburg,mixed_use,PUD,low,1,1,0,20000.0
Harrisburg,residential,RH,medium,1,1,0,
Kannapolis,commercial,GC-CZ,medium,1,1,0,
Kannapolis,unknown,HI,high,1,2,1,
Kannapolis,unknown,HI,medium,1,2,1,
Kannapolis,residential,R1,low,1,1,0,800000.0
Kannapolis,residential,R18,low,1,1,0,705612.0
Kannapolis,residential,R18-CZ,medium,1,1,0,0.0
Kannapolis,office,R4,high,1,1,0,160000.0
Kannapolis,office,R8,low,1,1,0,70000.0
Midland,unknown,C24/27,medium,1,1,0,
Midland,industrial,IND,low,1,1,0,
Midland,unknown,R/MST,high,1,1,0,
Midland,unknown,R/OMT,low,1,1,0,275000.0
Mt. Pleasant,agricultural,AG,medium,1,1,0,0.0
Mt. Pleasant,unknown,C-1,medium,1,1,0,2500.0
Mt. Pleasant,unknown,I-1,medium,1,1,0,
