official_parcel_id,objectid_1,pin14,parcel_quality_status,nbh_name,subdiv_name,zoning_jurisdiction_name,planning_jurisdiction_name,planning_boundary_type,dominant_zoning_code_raw,dominant_zoning_general_normalized,dominant_zoning_label_normalized,zoning_overlap_count,zoning_jurisdiction_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,second_zoning_jurisdiction_name,second_zoning_code_raw,second_overlap_pct,top_two_overlap_pct_gap,zoning_assignment_confidence,zoning_join_status,has_multiple_zoning,has_multiple_zoning_jurisdictions,tiny_sliver_overlap_count,parcel_area_acres_calc
CFS-PARCEL-0149799219,149799219,56135571430000,review,NORTH 29A,,Kannapolis,,,GC,commercial,GC,30,2,0.380709,0.971485,Kannapolis,GC,0.136189,0.244519,low,multi_jurisdiction_low_confidence,True,True,15,14.070078
CFS-PARCEL-0149796472,149796472,56127840350000,trusted,AZALEA AVE AREA,SHIFA 1 LLC,Kannapolis,,,R4,residential,R4,2,1,0.384357,0.753257,Kannapolis,R4,0.3689,0.015458,low,multi_zone_low_confidence,True,False,0,0.460399
CFS-PARCEL-0149785513,149785513,56022237180000,review,BISCAYNE / TRINITY CHURCH,NO SUBDIVISION,Kannapolis,,,GC,commercial,GC,6,1,0.393751,0.997743,Kannapolis,GC,0.316369,0.077382,low,multi_zone_low_confidence,True,False,1,44.304155
CFS-PARCEL-0149815501,149815501,56235177180000,trusted,DALE EARNHARDT BLVD,HERITAGE COURT - 8.371 AC,Kannapolis,,,R4,residential,R4,4,1,0.39379,0.889135,Kannapolis,R4,0.348837,0.044953,low,multi_zone_low_confidence,True,False,1,7.561778
CFS-PARCEL-0149820061,149820061,56313359170000,review,CENTERGROVE,,Cabarrus County / Unincorporated,Concord,etj,LDR,residential,LDR,3,2,0.399788,0.709231,Concord,RM-1,0.30944,0.090348,low,multi_jurisdiction_low_confidence,True,True,1,0.934415
CFS-PARCEL-0149765259,149765259,55295255790000,review,STOUGH ROAD,,Concord,,,RC,unknown,RC,9,1,0.404613,1.0,Concord,RM-2,0.239936,0.164676,low,multi_zone_low_confidence,True,False,4,34.23525
CFS-PARCEL-0149743544,149743544,55055429350000,review,STEEPLECHASE/SILVERTON,,Cabarrus County / Unincorporated,,,CR,residential,CR,1,1,0.410505,0.410505,,,,,low,single_zone_low_confidence,False,False,0,0.933691
CFS-PARCEL-0149807851,149807851,56210878390000,review,CONCORD PARKWAY NORTH,,Concord,,,C-2,unknown,C-2,3,1,0.413064,1.0,Concord,I-2,0.337981,0.075083,low,multi_zone_low_confidence,True,False,0,1.066162
CFS-PARCEL-0149776632,149776632,55331787350000,trusted,BETHEL ELEMENTARY SCHOOL,EAST SIDE PARK,Cabarrus County / Unincorporated,,,CR,residential,CR,2,2,0.435801,0.438889,Midland,AG,0.003088,0.432713,low,multi_jurisdiction_low_confidence,True,True,1,4.528944
CFS-PARCEL-0149765260,149765260,55295255790000,review,STOUGH ROAD,NORTH CAROLINA RAILROAD,Cabarrus County / Unincorporated,,,OI,office,OI,3,2,0.438988,1.0,Cabarrus County / Unincorporated,LDR,0.384815,0.054173,low,multi_jurisdiction_low_confidence,True,True,0,24.212788
CFS-PARCEL-0149766997,149766997,55331803040000,review,BETHEL ELEMENTARY SCHOOL,,Cabarrus County / Unincorporated,,,CR,residential,CR,1,1,0.439142,0.439142,,,,,low,single_zone_low_confidence,False,False,0,2.319508
CFS-PARCEL-0149797841,149797841,56131853220000,review,NCRC/KANNAPOLIS DOWNTOWN,,Kannapolis,,,R8,residential,R8,3,1,0.4464,1.0,Kannapolis,R8,0.361899,0.0845,low,multi_zone_low_confidence,True,False,0,5.94374
CFS-PARCEL-0149821706,149821706,56400388810000,review,LAKE LYNN LODGE,,Concord,Concord,etj,RM-1,residential,RM-1,3,2,0.45138,0.808884,Concord,RM-1,0.216551,0.234829,low,multi_jurisdiction_low_confidence,True,True,0,5.936527
CFS-PARCEL-0149776735,149776735,55540773540000,trusted,HWY 24 / 27,FOX CREEK PH1 MP1,Midland,,,C601,unknown,C601,3,1,0.452178,1.0,Midland,C601,0.444127,0.008052,low,multi_zone_low_confidence,True,False,0,0.42155
CFS-PARCEL-0149724804,149724804,159 248,review,ROWAN COUNTY PARCEL,ROWAN COUNTY PARCEL,Kannapolis,Kannapolis,etj,R8,residential,R8,3,1,0.453029,1.0,Kannapolis,GC,0.427144,0.025885,low,multi_zone_low_confidence,True,False,0,6.134774
