official_parcel_id,objectid_1,pin14,dominant_zoning_code,dominant_zoning_general,dominant_zoning_label,zoning_overlap_count,dominant_overlap_pct,total_zoning_overlap_pct,zoning_assignment_confidence,has_multiple_zoning,zoning_join_status,parcel_quality_status,parcel_area_acres_calc
CFS-PARCEL-0149757966,149757966,55182677730000,MDR,RESIDENTIAL,MDR,1,0.000308,0.000308,low,False,single_zone_low_confidence,trusted,0.281099
CFS-PARCEL-0149770978,149770978,55389910910000,LDR,RESIDENTIAL,LDR,1,0.000309,0.000309,low,False,single_zone_low_confidence,review,7.031723
CFS-PARCEL-0149730443,149730443,46714992750000,LDR,RESIDENTIAL,LDR,1,0.000311,0.000311,low,False,single_zone_low_confidence,trusted,0.191255
CFS-PARCEL-0149766444,149766444,55298358660000,MDR,RESIDENTIAL,MDR,1,0.000311,0.000311,low,False,single_zone_low_confidence,trusted,0.141477
CFS-PARCEL-0149761722,149761722,55270450960000,LDR,RESIDENTIAL,LDR,1,0.000315,0.000315,low,False,single_zone_low_confidence,trusted,2.336021
CFS-PARCEL-0149771245,149771245,55385270220000,LDR,RESIDENTIAL,LDR,1,0.000315,0.000315,low,False,single_zone_low_confidence,trusted,0.228232
CFS-PARCEL-0149777098,149777098,55551612270000,LDR,RESIDENTIAL,LDR,1,0.000318,0.000318,low,False,single_zone_low_confidence,review,10.247904
CFS-PARCEL-0149774963,149774963,55452481970000,CR,RESIDENTIAL,CR,1,0.000321,0.000321,low,False,single_zone_low_confidence,review,1.030374
CFS-PARCEL-0149777577,149777577,55554232510000,OI,OFFICE,OI,1,0.00033,0.00033,low,False,single_zone_low_confidence,review,12.75838
CFS-PARCEL-0149776158,149776158,55493792650000,LDR,RESIDENTIAL,LDR,1,0.000332,0.000332,low,False,single_zone_low_confidence,trusted,0.520428
CFS-PARCEL-0149771283,149771283,55393028290000,MDR,RESIDENTIAL,MDR,1,0.000337,0.000337,low,False,single_zone_low_confidence,trusted,0.182828
CFS-PARCEL-0149777222,149777222,55561115690000,CR,RESIDENTIAL,CR,1,0.00034,0.00034,low,False,single_zone_low_confidence,review,5.91464
CFS-PARCEL-0149763691,149763691,55285978380000,LDR,RESIDENTIAL,LDR,1,0.000343,0.000343,low,False,single_zone_low_confidence,review,0.299686
CFS-PARCEL-0149759396,149759396,55198039130000,OI,OFFICE,OI,2,0.000352,0.000353,low,True,multi_zone_low_confidence,trusted,1.20219
CFS-PARCEL-0149739579,149739579,46822181520000,CR,RESIDENTIAL,CR,1,0.000354,0.000354,low,False,single_zone_low_confidence,trusted,1.41484
CFS-PARCEL-0149759229,149759229,55198162070000,LI,INDUSTRIAL,LI,1,0.000366,0.000366,low,False,single_zone_low_confidence,trusted,0.740221
CFS-PARCEL-0149769049,149769049,55242779430000,LI,OFFICE,LI,2,0.000371,0.000467,low,True,multi_zone_low_confidence,review,70.023382
CFS-PARCEL-0149780307,149780307,55385357890000,LDR,RESIDENTIAL,LDR,1,0.000377,0.000377,low,False,single_zone_low_confidence,review,9.943252
CFS-PARCEL-0149766915,149766915,55344116980000,CR,RESIDENTIAL,CR,1,0.000378,0.000378,low,False,single_zone_low_confidence,trusted,1.243614
CFS-PARCEL-0149771469,149771469,55392181920000,MDR,RESIDENTIAL,MDR,1,0.000379,0.000379,low,False,single_zone_low_confidence,trusted,0.113265
CFS-PARCEL-0149787635,149787635,56035935170000,LDR,RESIDENTIAL,LDR,1,0.000379,0.000379,low,False,single_zone_low_confidence,trusted,0.218187
CFS-PARCEL-0149755204,149755204,55068503190000,CR,RESIDENTIAL,CR,1,0.000381,0.000381,low,False,single_zone_low_confidence,trusted,0.600494
CFS-PARCEL-0149766980,149766980,55349914100000,CR,RESIDENTIAL,CR,1,0.000382,0.000382,low,False,single_zone_low_confidence,review,0.69185
CFS-PARCEL-0149732130,149732130,46725688790000,CR,RESIDENTIAL,CR,1,0.000388,0.000388,low,False,single_zone_low_confidence,trusted,0.13204
CFS-PARCEL-0149732777,149732777,46727698570000,CR,RESIDENTIAL,CR,1,0.000392,0.000392,low,False,single_zone_low_confidence,trusted,15.216216
CFS-PARCEL-0149776995,149776995,55340967580000,GC,COMMERCIAL,GC,2,0.000394,0.000527,low,True,multi_zone_low_confidence,review,6.78007
CFS-PARCEL-0149771906,149771906,55395353270000,MDR,RESIDENTIAL,MDR,1,0.000394,0.000394,low,False,single_zone_low_confidence,trusted,0.31627
CFS-PARCEL-0149821993,149821993,56401355200000,LDR,RESIDENTIAL,LDR,1,0.000399,0.000399,low,False,single_zone_low_confidence,trusted,0.36615
CFS-PARCEL-0149828029,149828029,56717213390000,AO,AGRICULTURAL,AO,1,0.000402,0.000402,low,False,single_zone_low_confidence,review,15.018269
CFS-PARCEL-0149759595,149759595,55244409620000,OI,OFFICE,OI,2,0.000405,0.000583,low,True,multi_zone_low_confidence,review,51.117196
CFS-PARCEL-0149752873,149752873,55151701820000,CR,RESIDENTIAL,CR,1,0.000406,0.000406,low,False,single_zone_low_confidence,trusted,17.248322
CFS-PARCEL-0149827198,149827198,56339971530000,LDR,RESIDENTIAL,LDR,1,0.000408,0.000408,low,False,single_zone_low_confidence,trusted,0.691113
CFS-PARCEL-0149827470,149827470,56709472030000,AO,AGRICULTURAL,AO,1,0.000408,0.000408,low,False,single_zone_low_confidence,review,7.305763
CFS-PARCEL-0149731108,149731108,46715902340000,LDR,RESIDENTIAL,LDR,1,0.00041,0.00041,low,False,single_zone_low_confidence,trusted,0.18052
CFS-PARCEL-0149827323,149827323,56401364500000,LDR,RESIDENTIAL,LDR,1,0.000418,0.000418,low,False,single_zone_low_confidence,trusted,0.474914
CFS-PARCEL-0149827301,149827301,56401156090000,LDR,RESIDENTIAL,LDR,1,0.000437,0.000437,low,False,single_zone_low_confidence,trusted,1.034025
CFS-PARCEL-0149759958,149759958,55198121210000,OI,OFFICE,OI,1,0.000438,0.000438,low,False,single_zone_low_confidence,trusted,0.707639
CFS-PARCEL-0149768415,149768415,55380615270000,LDR,RESIDENTIAL,LDR,1,0.000439,0.000439,low,False,single_zone_low_confidence,trusted,0.534445
CFS-PARCEL-0149728740,149728740,46705472020000,OI,OFFICE,OI,1,0.000441,0.000441,low,False,single_zone_low_confidence,trusted,0.173778
CFS-PARCEL-0149769515,149769515,55384247290000,LDR,RESIDENTIAL,LDR,2,0.00045,0.00051,low,True,multi_zone_low_confidence,trusted,5.001486
CFS-PARCEL-0149785321,149785321,55546922540000,LDR,RESIDENTIAL,LDR,1,0.000456,0.000456,low,False,single_zone_low_confidence,review,3.027075
CFS-PARCEL-0149755814,149755814,55175208560000,LDR,RESIDENTIAL,LDR,1,0.000458,0.000458,low,False,single_zone_low_confidence,trusted,0.468586
CFS-PARCEL-0149726723,149726723,45896608890000,LI,INDUSTRIAL,LI,1,0.000461,0.000461,low,False,single_zone_low_confidence,trusted,23.05391
CFS-PARCEL-0149763755,149763755,55286364210000,LDR,RESIDENTIAL,LDR,1,0.000461,0.000461,low,False,single_zone_low_confidence,review,21.250082
CFS-PARCEL-0149771487,149771487,55392192610000,MDR,RESIDENTIAL,MDR,1,0.000467,0.000467,low,False,single_zone_low_confidence,trusted,0.131965
CFS-PARCEL-0149771378,149771378,55393005790000,MDR,RESIDENTIAL,MDR,1,0.000468,0.000468,low,False,single_zone_low_confidence,trusted,0.176888
CFS-PARCEL-0149735281,149735281,46801283980000,LDR,RESIDENTIAL,LDR,1,0.000471,0.000471,low,False,single_zone_low_confidence,trusted,13.90826
CFS-PARCEL-0149776518,149776518,55550235560000,LDR,RESIDENTIAL,LDR,1,0.000471,0.000471,low,False,single_zone_low_confidence,trusted,0.253957
CFS-PARCEL-0149820265,149820265,56320067360000,AO,AGRICULTURAL,AO,1,0.000478,0.000478,low,False,single_zone_low_confidence,review,14.787354
CFS-PARCEL-0149820221,149820221,56320255820000,AO,AGRICULTURAL,AO,1,0.000481,0.000481,low,False,single_zone_low_confidence,trusted,5.93768
CFS-PARCEL-0149738740,149738740,46814929030000,LC,COMMERCIAL,LC,1,0.000485,0.000485,low,False,single_zone_low_confidence,trusted,0.496196
CFS-PARCEL-0149734673,149734673,46801385900000,LDR,RESIDENTIAL,LDR,1,0.000494,0.000494,low,False,single_zone_low_confidence,trusted,9.329463
CFS-PARCEL-0149737603,149737603,46715902820000,LDR,RESIDENTIAL,LDR,1,0.000497,0.000497,low,False,single_zone_low_confidence,trusted,0.177492
CFS-PARCEL-0149823993,149823993,56517085740000,CR,RESIDENTIAL,CR,1,0.000498,0.000498,low,False,single_zone_low_confidence,trusted,0.272437
CFS-PARCEL-0149776892,149776892,55541448930000,OI,OFFICE,OI,1,0.000503,0.000503,low,False,single_zone_low_confidence,review,4.633655
CFS-PARCEL-0149819976,149819976,56311840120000,AO,AGRICULTURAL,AO,1,0.000507,0.000507,low,False,single_zone_low_confidence,review,39.638906
CFS-PARCEL-0149744979,149744979,55062793600000,LDR,RESIDENTIAL,LDR,1,0.000508,0.000508,low,False,single_zone_low_confidence,trusted,0.929434
CFS-PARCEL-0149763010,149763010,55277131270000,CR,RESIDENTIAL,CR,1,0.000513,0.000513,low,False,single_zone_low_confidence,trusted,23.94327
