official_parcel_id,objectid_1,pin14,parcel_quality_status,valuation_band,parcel_size_category,zoning_jurisdiction_name,dominant_zoning_code_raw,dominant_zoning_general_normalized,zoning_assignment_confidence,governance_warning_categories,permit_count,first_permit_date,latest_permit_date,permit_type_count,total_permit_amount,co_date_future_outlier_count
CFS-PARCEL-0149772192,149772192,55397521930000,trusted,luxury,estate,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2013-01-22,2025-12-16,4,187786.0,0
CFS-PARCEL-0149784549,149784549,56018447400000,trusted,ultra_high,commercial_large,Concord,I-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2016-09-13,2025-12-11,5,24969904.0,0
CFS-PARCEL-0149805752,149805752,56208212260000,review,high,estate,Concord,RC,unknown,high,['jurisdiction_code_semantics_review'],10,2017-08-21,2025-10-31,4,2201667.0,0
CFS-PARCEL-0149785044,149785044,56020084910000,trusted,ultra_high,commercial_large,Kannapolis,CD,unknown,medium,['jurisdiction_code_semantics_review'],10,2018-06-08,2025-10-29,3,20555220.0,0
CFS-PARCEL-0149811598,149811598,56223347560000,trusted,high,residential_standard,Concord,C-2,unknown,medium,"['review_multi_jurisdiction', 'jurisdiction_code_semantics_review']",10,2011-10-25,2025-10-27,3,90905.0,0
CFS-PARCEL-0149792067,149792067,56008150960000,review,ultra_high,commercial_large,Concord,RM-2,residential,high,['review_sliver_overlap'],10,2009-07-01,2025-09-04,5,2691400.0,0
CFS-PARCEL-0149793136,149793136,56015331620000,trusted,ultra_high,commercial_large,Concord,I-2,unknown,high,['jurisdiction_code_semantics_review'],10,2010-11-29,2025-08-15,3,10173000.0,0
CFS-PARCEL-0149803885,149803885,56204434980000,review,ultra_high,commercial_large,Concord,O-I,unknown,low,"['review_low_confidence', 'review_near_tie', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2020-08-05,2025-07-03,5,6666478.0,0
CFS-PARCEL-0149808530,149808530,56214025350000,review,luxury,residential_standard,Concord,B-1,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2009-01-01,2025-07-01,4,1581465.0,0
CFS-PARCEL-0149727653,149727653,45995270340000,review,ultra_high,extreme_large,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2006-09-01,2025-06-30,4,1465867.24,0
CFS-PARCEL-0149770835,149770835,55392376370000,review,luxury,commercial_large,Cabarrus County / Unincorporated,MDR,residential,high,['safe_for_dashboard'],10,2010-01-07,2025-06-13,3,82000.0,0
CFS-PARCEL-0149770836,149770836,55392376370000,review,luxury,commercial_large,Cabarrus County / Unincorporated,MDR,residential,high,['safe_for_dashboard'],10,2010-01-07,2025-06-13,3,82000.0,0
CFS-PARCEL-0149770837,149770837,55392376370000,review,luxury,commercial_large,Cabarrus County / Unincorporated,MDR,residential,high,['safe_for_dashboard'],10,2010-01-07,2025-06-13,3,82000.0,0
CFS-PARCEL-0149805705,149805705,56208785080000,trusted,ultra_high,residential_standard,Concord,CC,commercial,high,['safe_for_dashboard'],10,2020-12-08,2025-06-12,4,28074895.0,0
CFS-PARCEL-0149784288,149784288,56014424370000,trusted,ultra_high,commercial_large,Concord,I-2,unknown,medium,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2016-02-26,2025-04-30,4,22538020.0,0
CFS-PARCEL-0149820784,149820784,56230021240000,review,luxury,estate,Kannapolis,GC,commercial,high,['safe_for_dashboard'],10,2011-08-09,2025-04-17,4,1545029.0,0
CFS-PARCEL-0149814152,149814152,56211083240000,review,luxury,residential_standard,Concord,C-1,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2017-12-21,2025-04-15,3,773500.0,0
CFS-PARCEL-0149776915,149776915,55551062150000,review,luxury,estate,Midland,C24/27,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2006-06-01,2025-01-28,4,431400.0,0
CFS-PARCEL-0149752220,149752220,55094057000000,review,ultra_high,commercial_large,Concord,RM-1,residential,high,['review_sliver_overlap'],10,2004-06-01,2024-09-13,3,1619800.0,0
CFS-PARCEL-0149799356,149799356,56135763230000,trusted,medium,residential_standard,Kannapolis,CC,commercial,high,['safe_for_dashboard'],10,2009-07-01,2024-09-03,3,1700.0,0
CFS-PARCEL-0149744623,149744623,46808661890000,trusted,ultra_high,commercial_large,Concord,I-1-CD,unknown,medium,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2015-12-02,2024-08-28,3,5432000.0,0
CFS-PARCEL-0149812195,149812195,56226733100000,review,ultra_high,commercial_large,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],10,2003-04-01,2024-08-02,4,1891153.0,0
CFS-PARCEL-0149812196,149812196,56226733100000,review,ultra_high,commercial_large,Concord,C-2,unknown,high,['jurisdiction_code_semantics_review'],10,2003-04-01,2024-08-02,4,1891153.0,0
CFS-PARCEL-0149763422,149763422,55283332310000,review,ultra_high,commercial_large,Cabarrus County / Unincorporated,OI,office,high,"['review_multi_jurisdiction', 'review_sliver_overlap']",10,2012-11-02,2024-05-24,4,684097.0,0
CFS-PARCEL-0149740870,149740870,46904306160000,trusted,ultra_high,commercial_large,Concord,I-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2023-01-18,2024-05-02,4,17635893.0,0
CFS-PARCEL-0149766170,149766170,55297716940000,review,high,residential_standard,Concord,I-1,unknown,high,['jurisdiction_code_semantics_review'],10,2007-05-01,2024-03-05,3,179456.0,0
CFS-PARCEL-0149826984,149826984,56702395090000,trusted,luxury,commercial_large,Mt. Pleasant,OI,office,high,['review_sliver_overlap'],10,2017-03-23,2024-02-19,4,2305753.86,0
CFS-PARCEL-0149808822,149808822,56216278250000,review,luxury,residential_standard,Concord,RC,unknown,high,['jurisdiction_code_semantics_review'],10,2014-01-30,2024-01-04,1,833000.0,0
CFS-PARCEL-0149797262,149797262,56131794120000,review,medium,residential_standard,Kannapolis,LI,industrial,high,['review_sliver_overlap'],10,2008-01-01,2023-12-18,3,113600.0,0
CFS-PARCEL-0149806814,149806814,56209724780000,review,luxury,residential_standard,Concord,CC,commercial,high,['safe_for_dashboard'],10,2003-10-01,2023-01-26,4,26253.06,0
CFS-PARCEL-0149792729,149792729,56118576120000,trusted,luxury,residential_standard,Concord,C-2,unknown,high,"['review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2007-11-01,2021-09-15,2,,0
CFS-PARCEL-0149744737,149744737,55061600350000,trusted,low,commercial_large,Harrisburg,PUD,unknown,medium,"['review_multi_jurisdiction', 'review_sliver_overlap', 'jurisdiction_code_semantics_review']",10,2021-06-23,2021-07-08,1,413700.0,0
