subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
THE VILLAGES AT SKYBROOK NORTH PH 2 MAP 2,59,11.69,0,0.1981
FLOWERS FARM,58,31.17,0,0.5374
HARRISBURG VILLAGE PH1 MP2,58,16.48,0,0.2841
MALLARD POINTE ESTATES,58,13.16,0,0.2269
PLEASANT OAKS PHASE 1 MAP 2,58,17.25,0,0.2974
CHRISTENBURY VILLAGE A PHASE 2 MAP 1,57,43.47,0,0.7626
HOLCOMB WOODS PH2 MP3,57,20.28,0,0.3558
NIGHTOWN,57,10.25,0,0.1798
WINDING WALK PHASE 1 MAP 2,57,14.35,0,0.2518
AFTON RUN,56,47.84,0,0.8543
BROOKVUE PH 3 MAP 1,56,12.15,0,0.217
CASTLEBROOKE MANOR PH 1 MAP 3,56,15.16,0,0.2706
PELHEM POINTE,56,15.29,0,0.273
PROVIDENCE MANOR,56,9.37,0,0.1674
SAPPHIRE HILLS TOWNHOMES,56,8.91,0,0.1591
CABARRUS,55,36.54,0,0.6645
CABARRUS FARMS,55,17.66,0,0.3211
CARRIAGE HOUSE CONDOS,55,0.84,0,0.0152
KELLSWATER BRIDGE PH 1B MAP 3,55,11.36,0,0.2065
OAKLEAF CONDO PARK SEC 11,55,2.52,0,0.0459
OVERBROOK,55,100.74,0,1.8317
WATERFORD ON THE ROCKY RIVER,55,43.07,0,0.783
WATERFORD ON THE ROCKY RIVER PH 4 MAP 1,55,15.92,0,0.2894
HERTFORDSHIRE,54,12.55,0,0.2325
MIDLAND CROSSING PH 1,54,24.5,0,0.4536
THE VILLAS AT WINECOFF PH 1 MAP 5 REVISED,54,9.7,0,0.1796
VILLAGE AT KELLSWATER,54,20.85,0,0.3862
ALLBURN,53,39.93,0,0.7534
EDGEWOOD HILLS,53,40.95,0,0.7725
HEDGECLIFF TOWNES,53,10.15,0,0.1916
MEDLIN CROSSING,53,16.13,0,0.3043
RAMSGATE PH 3,53,9.44,0,0.1781
CHRISTENBURY VILLAGE B PHASE 2 MAP 1,52,20.36,0,0.3915
DAKOTA WOODS,52,27.26,0,0.5242
SHENANDOAH PARK,52,28.14,0,0.5411
SOUTH RIDGE ESTATES,52,8.14,0,0.1565
THE COURTYARDS ON ROBINSON CHURCH,52,10.95,0,0.2106
WINDING WALK PH4 MAP1,52,17.64,0,0.3391
BEDFORD FARMS PH4,51,24.51,0,0.4807
BROOKVUE PH 4 MAP 1,51,10.61,0,0.2081
CHRISTENBURY MEWS VILLAGE D,51,25.27,0,0.4956
DAVIS CREEK SUBDIVISION,51,12.32,0,0.2416
