subdivision,no_match_count,no_match_area_acres,subdivision_review_count,avg_area_acres
BEARDED BUILDER BROS LLC,8,2.99,0,0.3742
BESTWAY CENTER CONDOS,8,0.2,0,0.0251
BRISTOL,8,3.08,0,0.3848
BROOKVUE PH 2 MAP 2,8,1.43,0,0.1793
BROWNVILLE,8,3.15,0,0.3938
CHRISTENBURY VILLAGE D PH2 MAP 2,8,2.06,0,0.257
CONCORD AIRPORT INDUSTRAIL PARK,8,27.91,0,3.489
COPPERFIELD BLVD - 49.413 AC,8,49.58,0,6.1969
CORBAN AVENUE TOWNHOMES,8,0.6,0,0.075
EASTWOOD PARK,8,3.95,0,0.4936
GLENGROVE PH 2 PH 10,8,1.52,0,0.1903
HIGHLAND PARK,8,3.78,0,0.4729
HILLSIDE TOWNHOMES,8,1.07,0,0.1334
JACK NEWELL ACRES,8,21.39,0,2.6737
JONES PROPERTY,8,2.78,0,0.348
KANNAPOLIS GATEWAY BUSINESS PARK,8,50.71,0,6.3386
KELLSWATER BRIDGE PH2 M2,8,1.53,0,0.1907
LAT PURSER / AREY TRACT,8,26.45,0,3.3067
"MAGNOLIA CROSSING PH1, MAP1",8,1.36,0,0.1702
MISSOURI CITY,8,1.67,0,0.2089
MOSS CREEK VILLAGE THE TERRACE AT MOSS CREEK,8,2.06,0,0.2574
MOUNTAINBROOK PHASE 6 MAP 1,8,27.58,0,3.4471
OAKLEAF CONDOS SEC 10,8,0.66,0,0.0826
RANSOM & MARY COLLINS,8,3.26,0,0.4081
SAPPHIRE HILLS TOWNHOMES PH I MAP IV,8,0.62,0,0.0769
STANLEY WORKS,8,234.1,0,29.262
Stonebridge Townhomes,8,0.4,0,0.0495
THE VLG@KELLSWATER BRIDGE PH 1B MAP 5,8,1.25,0,0.1563
TUCKER CHASE MAP 4,8,1.92,0,0.2395
WEST OAKS,8,4.73,0,0.5916
WINDRIDGE,8,1.05,0,0.1309
502 AMHURST ST SW,7,0.89,0,0.1267
654 FAITH DR SW TOWNHOMES,7,0.61,0,0.0867
ABBINGTON PH 6 MAP 4,7,5.02,0,0.7166
AFTON VILLAGE 211 PARCEL,7,0.41,0,0.0587
"AFTON VILLAGE SOUTHEND UNITS 9, 10 & 11 REVISION",7,0.36,0,0.0519
BARBER-SCOTIA DEVELOPMENT,7,1.28,0,0.1828
BETHEL ACRES,7,11.24,0,1.6057
CANNON CROSSROADS SHOPPING CENTER,7,17.01,0,2.4305
Cannon Holding Corp,7,1.55,0,0.2216
CENTERVIEW,7,1.31,0,0.1877
CLOVER RIDGE TOWNHOMES PHASE IV,7,0.72,0,0.1031
CLOVERDALE,7,3.72,0,0.5309
CODDLE CREEK MARKET PHASE II,7,3.67,0,0.5239
CONCORD BUSINESS,7,30.3,0,4.329
CREEKSIDE COMMERCIAL LLC,7,16.72,0,2.3879
DIXIE PARK,7,2.3,0,0.3286
EASY STREET,7,1.66,0,0.2369
EDISON SQUARE TOWNHOMES PH 1 MAP 3 PB 71-13 (REV),7,0.94,0,0.1336
FARMINGTON PH1 MAP 1 REVISED,7,7.07,0,1.0093
FARMINGTON PH1 MP1,7,27.87,0,3.9819
GLENGROVE SUBDIVISION PH 1 PH 5 MAP 3,7,1.9,0,0.2712
GREEN ACRES PARK,7,3.9,0,0.5572
HARBOR TOWNE,7,1.56,0,0.2226
HOLCOMB WOODS,7,2.48,0,0.3542
HONEY TREE LANE,7,9.02,0,1.2885
KANNAPOLIS LAND PARTNERS LLC,7,23.0,0,3.2851
KANNAPOLIS SUBDIVISION,7,2.28,0,0.3258
KANNAPOLIS SW  SEC 2,7,2.04,0,0.292
LAKEVIEW/LOWE BROS,7,1.01,0,0.1437
LAUREL PARK SUBDIVISION PH 5 LOTS #547-#557,7,2.41,0,0.3439
LOT #3 AFTON VILLAGE,7,0.36,0,0.0514
LPT INVESTMENTS,7,3.86,0,0.5517
MCKINNON AVE TOWNHOMES,7,0.8,0,0.1148
P/O KANNAPOLIS SUBD PARCEL A,7,0.34,0,0.0488
PETREA HEIGHTS,7,1.32,0,0.1892
QUIKTRIP NO 1021,7,24.37,0,3.4809
REVISED RECOMB. KELLSWATER BRIDGE PH 1B,7,2.88,0,0.4111
ROSENBALM PARCELS,7,4.24,0,0.6053
SHELBY WOODS,7,6.26,0,0.8944
SHIFA 1 LLC,7,2.13,0,0.3043
SOUTHSIDE AT CANNON CROSSING MAP 2,7,1.86,0,0.2655
SPRING GARDENS,7,3.23,0,0.4611
TERRES BEND PH 1,7,6.04,0,0.8633
THE PRESERVE AT COLDWATER CREEK,7,10.3,0,1.4712
THE VINEYARDS @ PINE CREEK,7,6.83,0,0.9754
UNION ROW REVISED,7,0.36,0,0.0513
W F WINECOFF,7,3.7,0,0.5282
WATERFORD ON THE ROCKY RIVER PH 2B MAP 1,7,1.99,0,0.2847
WEDDINGTON ROAD LOTS,7,11.19,0,1.5986
WINDING WALK,7,10.14,0,1.4492
WINDSOR PH II-B,7,4.56,0,0.6521
WYNDHAM PLACE PH 3,7,3.55,0,0.507
ZACHARY FARMS,7,8.69,0,1.2416
#3301 WEEPING WILLOW DR NW,6,1.45,0,0.2423
429 CENTRAL AVE,6,0.51,0,0.0856
504 OLD CHARLOTTE RD SW,6,1.29,0,0.2149
518 E. C ST,6,1.65,0,0.2744
5348 ALMEDA PL NW,6,1.25,0,0.2084
660 SEDGEFIELD STREET,6,2.18,0,0.3641
ABINGTON WEST,6,0.35,0,0.0575
AFTON VILLAGE-SAVANNAH HOUSE 3,6,0.26,0,0.0426
ALEXANDER PROPERTY,6,12.56,0,2.0926
B.B. SOSSAMON IND PARK,6,10.4,0,1.733
B.L. Umberger Est.,6,1.7,0,0.284
BARBEE ESTATES,6,20.75,0,3.4585
"BARNHARDT FAMILY ENTERPRISES, LLC",6,51.91,0,8.652
BAUCOM PROPERTY,6,5.17,0,0.8613
BEDFORD FARMS PH 1 MAP 6,6,2.16,0,0.3598
BICENTENNIAL PARKING LOT,6,1.31,0,0.2179
BOUNDARY SURVEY FOR CASTLE & COOKE NC LLC,6,10.03,0,1.6711
BROOKLYN PARK,6,1.5,0,0.2494
BROWN SPRINGS MHP,6,1.53,0,0.2551
CABARRUS COUNTY,6,64.69,0,10.7823
CALDWELL BUSINESS PARK,6,30.35,0,5.0585
CHRISTENBURY VILLAGE C PH 3A,6,0.83,0,0.1383
CLOVER RIDGE TOWNHOMES PH III,6,0.34,0,0.0559
CLOVER RIDGE TOWNHOUSES PHASE II,6,0.25,0,0.0416
CLOVERIDGE TOWNHOMES PHASE I,6,0.25,0,0.0416
CONCORD AIRPORT BUSINESS PARK,6,69.38,0,11.5641
DOSTER PLACE,6,2.57,0,0.4285
EAST LAKE VIEW,6,2.36,0,0.3942
EXEMPTION PLAT,6,1.95,0,0.3243
FISHER BROTHERS,6,1.47,0,0.2448
FRED & INEZ HARRINGTON S/D,6,1.09,0,0.181
GLADYS DOSTER FAMILY PROPERTY,6,7.95,0,1.3254
GLASS ADDN 2,6,7.98,0,1.3297
GLENGROVE PH2 PH1,6,1.28,0,0.2141
GT PROPERTIES OF NC INC,6,2.57,0,0.4276
HARRISBURG HTS,6,5.1,0,0.8494
KANNAPOLIS,6,6.91,0,1.1509
KANNAPOLIS B3L2 LLC,6,0.49,0,0.0824
KANNAPOLIS SUBDIVISION NE SEC 1,6,1.74,0,0.2892
KELLSWATER BRIDGE PH2B MP2,6,1.15,0,0.1924
KELLSWATER FNL PLT PH2B MP6,6,0.98,0,0.1635
KINGS GRANT PLAZA,6,9.55,0,1.5908
KRBLOCK2 LLC,6,0.53,0,0.0883
LANDS OF JOURNEY CAPITAL LLC,6,2.38,0,0.3975
LAUNDRY ST EXT,6,2.16,0,0.3599
LITCHFIELD VILLAGE S/D PH 2 M 4,6,1.69,0,0.2817
M F TEETER,6,2.87,0,0.4783
M F TEETER PROPERTY,6,3.02,0,0.504
MAGNOLIA CROSSING Ph 2 Map 2,6,1.01,0,0.1678
Mission Hills Ph 2,6,10.29,0,1.7154
NO MAN'S LAND,6,1.83,6,0.3052
NORA A. CANUP PROPERTY,6,3.5,0,0.5832
OAKMONT BUSINESS PARK,6,40.2,0,6.7007
OFFICE TRACT KINGS GRANT,6,7.49,0,1.2482
PARKSDALE,6,1.77,0,0.2944
PELHEM POINTE PH 1 MAP 1 REV,6,1.24,0,0.2065
PELHEM POINTE PH 3 MAP 2,6,0.92,0,0.1535
PERFORMANCE PARK,6,84.09,0,14.0156
PINEWOOD GROVE,6,5.81,0,0.9685
PLAT 506 MARTIN CIRCLE,6,0.26,0,0.0438
PLAT FOR JAMES DAVID WIGHTMAN II & ALLISON WIGHTMA,6,1.14,0,0.1901
RECOMB PLAT,6,0.0,0,0.0002
REV BROOKEDALE COMMONS PH 2 M 1,6,1.95,0,0.3248
REYMUNDO G LOPEZ,6,3.22,0,0.5363
SCHOOL HOUSE COMMONS,6,15.03,0,2.5053
"Settlers Ridge, Ph2",6,0.96,0,0.1592
"Settlers Ridge,Ph 2",6,0.97,0,0.1618
SHELBY WOODS LOTS #3-9,6,2.1,0,0.3496
SHERWOOD HILLS BLK C,6,1.61,0,0.2677
SIDES REALTY,6,5.29,0,0.8809
SW CORNER YOUNG AVE & CROWELL DR,6,0.5,0,0.0832
TAYLOR,6,4.03,0,0.6721
TEETERTOWN,6,2.39,0,0.3983
THE FARM AT RIVERPOINTE PH 3B MAP 1,6,1.0,0,0.1668
THE FARM AT RIVERPOINTE PH 3C ADDITION,6,0.82,0,0.1367
THE KEBL LLC PROPERTY,6,2.74,0,0.4565
THE PINES,6,4.1,0,0.6837
THE PRESERVE AT coldwater creek,6,5.43,0,0.9056
THE STATES SUBDIVISION,6,3.26,0,0.5438
TRI-STAR CABARRUS LLC,6,0.8,0,0.1339
TRIECE HEIGHTS,6,0.65,0,0.1089
Umberger Est.,6,3.54,0,0.5903
VALLEY ACRES,6,21.54,0,3.5908
VILLAGE GREEN TOWNHOME CONDOMINIUMS,6,0.22,0,0.0362
VILLAGE OF KELLSWATER BRIDGE,6,1.06,0,0.1762
WEDDINGTON ROAD BUSINESS PARK,6,9.32,0,1.5539
WILLOW OAKS,6,40.12,0,6.687
WINECOFF HEIGHTS,6,2.89,0,0.4818
WINECOFF/S MAIN,6,21.83,0,3.6388
YATES MILL,6,1.44,0,0.2398
1.692 AC KERR ST NW,5,1.57,0,0.3147
1.938 AC - HILLANDALE PLACE NE,5,1.88,0,0.3768
1003 S RIDGE AVENUE,5,1.2,0,0.2393
129 ARIZONA PL NW TOWNHOMES,5,0.75,0,0.1495
325 ODELL DR NW,5,0.65,0,0.1301
33.365 AC - HARRIS ROAD,5,3.4,0,0.6791
5177 PATTERSON RD,5,1.71,0,0.3423
600 RACING,5,40.7,0,8.1406
601 INDUSTRIAL PARK,5,7.03,0,1.4062
6595 HUDSPETH RD,5,5.17,0,1.0341
AFTON VILLAGE 209 PARCEL,5,0.44,0,0.0871
"AFTON VILLAGE 67,67A,69,69A",5,0.21,0,0.0415
AFTON VILLAGE PARCEL 208,5,0.31,0,0.0618
AFTON VILLAGE PHASE 4B UNITS 1-7 OF PARCEL 34,5,0.36,0,0.0717
ANNA ROGERS PROPERTY,5,1.11,0,0.2229
ANNEVA TERRACE,5,1.03,0,0.2068
BAKER & BAKER,5,20.18,0,4.0361
BEDFORD FARMS PH 1 MAP 4,5,1.81,0,0.3612
BEDFORD FARMS PH 1 MAP 5,5,2.17,0,0.4348
BETHEL GLEN,5,1.54,0,0.3077
BEVERLY HILLS EXT,5,5.93,0,1.1853
BM REALTY INVESTMENTS LLC,5,0.77,0,0.1533
BOXWOOD ESTATES,5,6.51,0,1.3017
CABARRUS VICTIMS ASSISTANCE NETWORK,5,1.37,0,0.2732
CANNON HOLDING CORP.,5,1.2,0,0.24
CANNON MEMORIAL YOUNG MEN'S CHRISTIAN ASSOCIATION,5,10.37,0,2.0732
CANNON RUN REVISED,5,6.41,0,1.282
CAROLINA SUPERIOR BUILDERS LLC,5,1.77,0,0.3538
CATAWBA LAND CONSERV NC CLEAN WATER MGMNT TR FUND,5,13.48,0,2.6951
CLEAR SPRING FARM,5,3.04,0,0.6088
CLOVERLEAF PLAZA,5,28.53,0,5.7051
CRESTWOOD HEIGHTS,5,1.96,0,0.3919
DATSUN AVE,5,3.5,0,0.6995
"DAVIS, TALBERT & PHIFER",5,3.12,0,0.6249
DEITT & BONO,5,4.71,0,0.9426
DOMINIC N MORLANDO,5,19.95,0,3.9899
EASTOVER,5,1.92,0,0.3833
EDEN ROCK,5,15.79,0,3.1572
EDGEWOOD MANOR,5,3.84,0,0.7686
EVAN NEWTON,5,0.79,0,0.1572
FLEETWOOD,5,2.29,0,0.4588
FRANKLIN HEIGHTS,5,2.61,0,0.5212
GARY W LAYTON LLC,5,2.24,0,0.4489
GLENGROVE PHASE 2 PHASE 2 MAP 1,5,0.85,0,0.1692
"GLK GROUP, LLC",5,26.22,0,5.2435
GOODMAN ESTATE,5,28.55,0,5.7102
GORDON HEIGHTS PART 2,5,7.03,0,1.4052
HARMONY PLACE MAP 1,5,1.52,0,0.3044
HARMONY PLACE MAP 2,5,1.79,0,0.3585
HAROUR TOWNE,5,0.89,0,0.1785
HARRIS ADDITION,5,1.7,0,0.3396
HARRISBURG PROFESSIONAL CENTER,5,0.05,0,0.0102
HAWTHORNE PH 1 MAP 6,5,1.78,0,0.3563
INTEGRITY INVESTMENTS,5,1.54,0,0.3078
JAMES DAVID WIGHTMAN II,5,0.68,0,0.1366
JAMESTOWN BLK A,5,0.72,0,0.144
JARRELL WHITLEY CONDOMINIUM,5,1.23,0,0.2458
JDL HOMES LLC,5,1.53,0,0.3063
KANNAPOLIS II CONDOMINIUM,5,1.1,0,0.2204
KANNAPOLIS SPORTS & ENTERTAINMENT VENUE,5,9.14,0,1.8277
KEBL LLC,5,2.35,0,0.4694
LINKER-STALLINGS,5,1.12,0,0.2247
LITCHFIELD VILLAGE S/D PH3 MAP1,5,1.31,0,0.2627
LOT 10 & 11 THE INTERNATIONAL BUSINESS PARK,5,11.07,0,2.2147
MAIN ST SW - 8.733 AC,5,7.01,0,1.4012
MAIN STREET,5,0.75,0,0.1508
MALLARD POINTE ESTATES MAP 6,5,1.0,0,0.1998
MALLARD POINTE ESTATES MAP11,5,1.03,0,0.2068
MCCLOUD ACRES,5,6.0,0,1.1995
MEADOW PARK,5,1.27,0,0.2531
MIDLAND BLK B,5,1.63,0,0.3259
MIDWAY,5,1.99,0,0.3987
MT VERNON HEIGHTS,5,1.57,0,0.3143
NEW TEXAS,5,1.48,0,0.2963
NOLIM PROPERTY,5,38.03,0,7.606
NORTH SHARON PARK,5,1.17,0,0.234
OAKDALE PK,5,1.71,0,0.3419
OAKLEAF CONDOS SEC 7,5,0.5,0,0.0995
OAKLEAF CONDOS SEC 8,5,0.55,0,0.1095
OVERBROOK MANOR PH1 MAP1,5,6.63,0,1.3262
PBH BEHAVIORAL HEALTHCARE,5,16.4,0,3.2802
POPLAR POINTE,5,18.4,0,3.6799
POPSICLE PARK,5,0.86,0,0.1725
PP & I LLC,5,1.58,0,0.3168
RECOMB. THE VLG @ KELLSWATER  BRDG  1-232- 1-236,5,0.83,0,0.1669
RES-NC RESTORATION LLC,5,0.85,0,0.1706
REV PLEASANT OAKS PHASE 1 MAP 1,5,1.58,0,0.3159
REV SUBDIV PLAT FOR 685 JOURNEY ST SW,5,1.67,0,0.3338
ROGERS COURT,5,3.66,0,0.7325
SETTLERS RIDGE Ph 2,5,1.42,0,0.2838
SETTLERS RIDGE PH1,5,0.81,0,0.1627
SHERWOOD HILLS BLK B,5,2.13,0,0.4253
SMALL AVENUE MOBILE HOME TERRACE,5,8.83,0,1.7663
SOUTH SKYLAND DR,5,1.65,0,0.3307
SPRINGHILL,5,3.03,0,0.6061
STONEBRIDGE TOWNHOMES PH 11 G,5,0.25,0,0.0503
STONEBRIDGE TOWNHOMES PH 11H,5,0.61,0,0.1222
SUMMER JASON HILLS,5,17.13,0,3.4264
TERRES BEND PH 11,5,5.62,0,1.1232
THE COMMONS AT FARMINGTON PH 2,5,1.11,0,0.222
THE FOREST,5,2.34,0,0.4683
THE GROUNDS AT CONCORD,5,113.73,0,22.7468
THE VILLAGE@KELLSWATER BRIDGE THE MANOR HOUSE,5,0.62,0,0.1241
THE VILLAGES AT SKYBROOK NORTH PH 1 MAP 4 REV,5,1.73,0,0.3465
TIMOTHY N TALLENT & WF DIANNE C TALLENT,5,3.54,0,0.7075
TROUTMAN'S CORNER,5,5.73,0,1.1451
UMBERGER ESTATE,5,6.02,0,1.2046
VIDA CONDOMINIUM,5,2.71,0,0.543
VILLAMONT HEIGHTS,5,1.41,0,0.2823
VIRGINIA M RODGERS,5,10.85,0,2.1705
WEDDINGTON ROAD COMMONS,5,20.08,0,4.0153
WINCHESTER CONDO PH2 CAMBRIDGE BLDG,5,0.12,0,0.0236
WINDING WALK PHASE 2-MAP 1,5,1.09,0,0.2183
WYNDHAM PLACE TOWNHOMES PH 2,5,0.32,0,0.0642
WYNDHAM PLACE TOWNHOMES PH 5,5,0.6,0,0.1209
#215 PARKWOOD DR NW,4,0.52,0,0.1291
0.605 AC - EASY STREET,4,1.22,0,0.3041
0.948 AC - WILSHIRE AVE SW,4,0.92,0,0.2309
1006 RHODE ISLAND AVE,4,0.7,0,0.1741
1026 TENNESSEE ST,4,2.57,0,0.6432
110 CINCO AVE & FRANKLIN AVE,4,0.86,0,0.2161
1102 & 1108 RED STREET,4,2.33,0,0.5835
1225 LEE AVE,4,0.36,0,0.0907
157 LE CLINE DR NE,4,2.93,0,0.7326
2.240 AC - NC HWY 49,4,1.52,0,0.3802
4349 ROBERTA ROAD,4,2.77,0,0.6935
44.107AC - ROXIE STREET,4,42.7,0,10.6741
4443 KANNAPOLIS PARKWAY,4,9.18,0,2.2957
586 WILHELM PL NE,4,1.43,0,0.3585
750 SPRING ST SW,4,1.31,0,0.3271
85 EXCHANGE PHASE II,4,57.31,0,14.3267
ADAMS HOMES-CHARLOTTE,4,2.03,0,0.5087
AFTON VILLAGE PARCEL 602/604,4,0.24,0,0.0599
AFTON VILLAGE PARCEL 602/604 REVISED,4,0.23,0,0.0573
AFTON VILLAGE PH 4C,4,0.28,0,0.07
"ALDI (N.C.) , L.L.C",4,3.93,0,0.9819
ALLEN PLACE S/D,4,2.69,0,0.6737
AMY N MITCHELL,4,0.88,0,0.221
B L UMBERGER,4,1.11,0,0.2787
BEAVER MINOR,4,1.22,0,0.3043
BENT OAKS LLC,4,1.48,0,0.3712
BERGERBURG,4,1.36,0,0.3394
BETHANY WOODS,4,5.37,0,1.3424
BETHEL GLEN PHIII MP1,4,0.96,0,0.2398
Beverly Hills,4,10.47,0,2.6184
BISCAYNE INDUSTRIAL PARK,4,8.64,0,2.1588
BISCAYNE INDUSTRIAL PARK M-2,4,11.84,0,2.9594
BLK 5 CARTERSVILLE SUBDIVISION REVISED,4,0.52,0,0.1306
BRADLEY BROTHERS,4,4.08,0,1.0204
BROOKDALE PHASE 1-MAP 1,4,22.6,0,5.6511
BROOKEDALE COMMONS PH 1 M 1,4,2.11,0,0.5271
C M SLOOP,4,2.9,0,0.7247
CABARRUS COUNTY (REVISION),4,2.56,0,0.6397
CAMELLIA GARDENS,4,1.01,0,0.2525
CAROLINA AIR PARK,4,2.37,0,0.5923
CAROLINA MALL COMPANY,4,51.74,0,12.9344
CARTERSVILLE,4,0.95,0,0.238
CEDAR-ROSE,4,0.56,0,0.1397
CENTERVIEW ADDITION,4,1.15,0,0.2881
CHARLES A NORRIS,4,2.57,0,0.6418
CHARLES JOHNSTON,4,15.46,0,3.8657
CHRISTENBURY SE CORNER,4,13.18,0,3.2952
CHRISTENBURY SW CORNER,4,4.92,0,1.2307
CHRISTENBURY VILLAGE B PH 1 MAP 2,4,1.06,0,0.2654
CLARK BUILDING CONDOMINIUM,4,0.93,0,0.2333
COBLE FAMILY FARM LTD.,4,3.92,0,0.979
COCHRAN ROAD LOTS,4,1.25,0,0.3119
COLONIAL SQUARE,4,3.07,0,0.7665
CONCORD PARKWAY OUTPARCELS,4,4.77,0,1.1931
COPERFIELD PH II,4,15.55,0,3.887
COPPERFIELD,4,4.68,0,1.1691
COPPERFIELD CENTRE,4,11.81,0,2.9517
COPPERFIELD PLACE,4,22.75,0,5.6878
CORNERSTONE CABARRUS LLC,4,1.67,0,0.4177
CORRIES MEADOW,4,5.44,0,1.3596
CW SWINK,4,5.37,0,1.3425
DA MOORE PROPERTIES LLLP,4,5.09,0,1.2727
DANCY'S MHP,4,1.44,0,0.3612
DEBBIE & PAUL LANGE,4,15.87,0,3.9669
DILL ACQUISITIONS LLC,4,9.15,0,2.288
Division of McDonald Homes Inc Property,4,1.5,0,0.3748
DOMINION CREST AT HIGHLAND CREEK PH1 MAP 1,4,0.68,0,0.169
EASTOVER DRIVE,4,5.8,0,1.4512
ELWOOD LANE,4,1.62,0,0.4042
ERNESTINE LITAKER IRVIN S/D,4,10.18,0,2.5444
ESTATE OF MARY HUDSPETH,4,7.3,0,1.8255
EVELYN LOVE BROWN,4,15.55,0,3.8881
F.W. GLASS ESTATE,4,3.56,0,0.8888
Field's Way,4,2.64,0,0.6605
FIFTH THIRD BANK PRP,4,5.92,0,1.4812
FISHER & FISHER,4,1.45,0,0.3622
FISHER PROPERTY,4,5.26,0,1.3154
FOREST HILL UNITED METHODIST CHURCH,4,1.43,0,0.3564
FRED E FUNDERBURK PROPERTY,4,2.22,0,0.5543
FRED W GLASS ESTATE,4,1.17,0,0.2924
FULLERTON PLACE PH 3 MAP 1,4,0.85,0,0.2114
FUTURE HARRISBURG VILLAGE,4,0.0,0,0.0007
GAILLARD MERVIN INC,4,20.05,0,5.0127
GEORGE WINECOFF,4,1.26,0,0.3155
GLENGROVE PH 2 PH 6 MAP 2,4,0.65,0,0.1635
GLENN & ROBERT DUVIER,4,0.84,0,0.2104
GROVE PARK,4,2.3,0,0.5746
HAMILTON REAL ESTATE GROUP LLC,4,0.74,0,0.1855
HARRISBURG TOWN CENTER TOWN HALL,4,0.14,0,0.0359
HARRISBURG VILLAGE,4,0.29,0,0.0716
HARTSELL ACRES,4,0.29,0,0.0724
HERITAGE COMMONS,4,2.11,0,0.5267
HERITAGE COURT,4,4.13,0,1.0323
HILLANDALE ST NE TOWNHOMES,4,0.42,0,0.1048
"HOWELL, IRA B AND CAROLYN P",4,49.15,0,12.2885
HUBERT R & HELEN F HARTSELL,4,4.07,0,1.0174
INTERNATIONAL BUSINESS PARK AT CONCORD PH II,4,16.7,0,4.1757
J D WYATT FARM,4,4.04,0,1.0102
JEFFERS PROPERTY,4,7.89,0,1.9719
John A. & Arthur O. Webb,4,0.85,0,0.2132
JOHN EVERETT & SUSAN J WILLIAMS PROPERTY,4,14.07,0,3.5171
JOHNNIE GUINN,4,1.08,0,0.2691
Kannapolis Blk C,4,1.35,0,0.3368
KANNAPOLIS SUBDIVISION SW 5,4,0.73,0,0.1834
LAKEVIEW,4,2.09,0,0.5227
LANDS OF THE DAVIS LAND GROUP LLC,4,2.21,0,0.5515
LAUREL PARK PH 5 LOTS 548 & 550,4,1.48,0,0.3696
LEROY A SCOTT ESTATE,4,4.57,0,1.142
LESLEY PROFESSIONAL BUILDING CONDO,4,0.27,0,0.0683
Lisa Maria Place,4,0.65,0,0.1624
LOCKE COTTON MILLS CO,4,0.86,0,0.216
LONGFIELD TOWNHOMES MP1 (AKA CALDWELL TOWNHOMES),4,0.29,0,0.073
LOT RECOMBINATION FOR BYRNE PROPERTIES,4,1.73,0,0.433
LRME 2112,4,1.22,0,0.3039
MAIN STREET CONDOMINIUM PH II-THE REARDON BUILDING,4,0.11,0,0.0279
MAIN STREET CONDOS - CHELSEA BUILDING,4,0.06,0,0.0149
MAX PARKER KIRK,4,19.84,0,4.9589
MAYFIELD DEVELOPMENT,4,17.55,0,4.3871
MICHAELFORD MANOR,4,1.16,0,0.2896
MINOR SUB JOURNEY CAPITAL LLC,4,1.65,0,0.4134
MISSION HILLS,4,0.63,0,0.1564
MRS FANNIE FISHER DEAL,4,3.85,0,0.9626
N/A,4,2.91,4,0.7268
NEW LIFE DEVLOPERS LLC,4,0.69,0,0.1725
NORTHCREST BUS. PARK,4,13.3,0,3.3246
NULL,4,20.19,0,5.0484
OSCAR ORTIZ & NORMA GONZALEZ,4,2.9,0,0.7245
PARK PLACE SUBDIVISION PHASE 2,4,0.36,0,0.0911
PARKWOOD CONDO,4,0.06,0,0.0148
PEBBLE BROOK ACRES,4,2.71,0,0.6768
PLAT LTS 25-31 BLK A C W SWINK,4,0.71,0,0.1764
PLEASANT OAKS PH2 REVISED,4,0.94,0,0.2354
PREMIER CONSTRUCTION INC S/D,4,0.87,0,0.2172
PRESSLEY COMMONS,4,1.11,0,0.2787
PROPERTY OF PP&I LLC,4,1.28,0,0.3199
Recombination-HARRISBURG PARK,4,1.79,0,0.4473
REDWOOD KANNAPOLIS,4,34.42,0,8.6062
RENAISSANCE SQUARE,4,5.05,0,1.2629
REV GLENWOOD AT THE VILLAGE OF REDBRIDGE,4,1.57,0,0.3917
REVISED FINAL PLAT LOT 458-461,4,0.37,0,0.0926
RICHARD A & CATHLEEN A CRAVEN,4,33.32,0,8.3299
ROSKAMP SUBDIVISION,4,1.72,0,0.4309
ROYAL OAKS BLK 35,4,1.79,0,0.4483
RUTH SIGMON JORDAN,4,2.35,0,0.5863
S O WEAKS PARK REVISED,4,0.96,0,0.2402
SADDLE CREEK PH 2,4,43.73,0,10.9313
SETTLER'S LANDING COMMERCIAL OUTPARCELS,4,25.34,0,6.3338
"SETTLERS RIDGE, PH 2",4,0.91,0,0.2278
SHADY BROOK,4,1.29,0,0.3219
SHADY OAKS MHP,4,0.64,0,0.1599
SHEFFIELD,4,1.62,0,0.4044
SHIFA1 LLC,4,0.89,0,0.2213
SOSSOMAN ACRES,4,14.57,0,3.6428
SOUTH MAIN OFFICE CONDOMINIUM,4,0.14,0,0.035
STATE CIRCLE,4,37.89,0,9.4724
Stonebridge 11F,4,0.21,0,0.0515
SULLIVAN,4,24.49,0,6.1236
SURVEY KANN SUB,4,14.33,0,3.5819
TAYLOR PROPERTY,4,25.67,0,6.4172
TETON PROPERTIES,4,6.83,0,1.7074
THE DEN PROPERTIES LLC,4,0.5,0,0.1247
THE POINTE @ ST ANDREWS,4,0.96,0,0.2409
THE SHOPPES AT KINGS GRANT,4,8.89,0,2.2232
THE VILLAGES AT SKYBROOK NORTH PH 2 MAP 2 (REV),4,0.84,0,0.2093
THEVLG@KELLSWATER BRIDGE OF PH 1B MAP 5,4,28.16,0,7.0399
TR2 HERITAGE COMMONS REVISED,4,1.33,0,0.3316
TRIBEK - MORRIS TRACT INDUSTRIAL,4,120.91,0,30.2281
Umberger,4,3.27,0,0.8186
UNRECORDED,4,1.96,0,0.4898
VALHALLA SEC6 MP2,4,2.94,0,0.7342
VILLAGE OF KELLSWATER BRIDGE PH 2B MAP 8,4,1.25,0,0.3129
VIOLET TERRACE,4,0.65,0,0.1622
VIRGINIA W CALDWELL ESTATE,4,14.05,0,3.5125
WESLEY JOYNER,4,2.2,0,0.5498
WEST BROOK,4,2.07,0,0.5168
WEST G VILLAGE,4,0.22,0,0.0548
WILDWOOD RIDGE PH1 MAP1,4,1.18,0,0.2953
WILLIAM HOELL MINOR S/D,4,0.7,0,0.1758
WILLIAM J & CYNTHIA B HOELL,4,1.65,0,0.4135
WILLIE FOSTER ESTATE,4,85.18,0,21.2943
WILSHIRE DRIVE,4,2.31,0,0.5782
WISH PROPERTIES LLC,4,2.69,0,0.6714
WYDNHAM PLACE TOWNHOMES PH 4,4,0.27,0,0.0664
YCBB CONDOMINIUMS,4,0.97,0,0.2435
YOUNG CIRCLE COTTAGES LLC,4,4.19,0,1.0482
